0	DRAWING	TITLE	FIND	STRIKE
3	1010829-5	ZENER DIODE	32	
6	1010376-2	TRANSISTOR	31	
X	1010050	SCHEMATIC	REF	
3	1010372-12	DIODE	30	
13	1006750-49	RESISTOR	29	
AR	1006776-22	INSULATION SLEEVING	28	
1	1008121	WIRING BOARD, BOTTOM	27	
1	1008119	WIRING BOARD, TOP	26	
AR	1006776-21	INSULATION SLEEVING	25	
AR	1006757-1	WIRE, ELECTRICAL	24	
AR	-8	WIRE, ELECTRICAL	23	
12	1010292-002	TERMINAL FEEDTHRU INSULATED	22	
3	1010376-1	TRANSISTOR	21	
6	1010395	TRANSISTOR	20	
3	1010265-5	DIODE	19	X
93	1010385	DIODE	18	
3	1006755-79	CAPACITOR	17	
1	1010393-039	CAPACITOR	16	
6	1006777-27	CAPACITOR	15	
3	1006755-65	CAPACITOR	14	
12	1006777-21	CAPACITOR	13	
6	1006755-69	CAPACITOR	12	
12	1006777-16	CAPACITOR	11	
3	1010312-034	RESISTOR	10	
3	1006750-40	RESISTOR	9	
6	-12	RESISTOR	8	
18	-60	RESISTOR	7	
6	-41	RESISTOR	6	
30	-56	RESISTOR	5	
3	-67	RESISTOR	4	
24	-36	RESISTOR	3	
6	-58	RESISTOR	2	
12	-53	RESISTOR	1	
				
		PROOFED		
