0	DRAWING	TITLE	FIND
X	1010112	WIRING DIAGRAM	REF
			
1	1007131	SIG CONDITIONER ASSY IRIG	11
AR	QQ-W-343 TYPE S	WIRE, COPPER	10
1	1004628	PLATE, IDENTIFICATION	9
17	1008169-1	WASHER – FLAT	8
17	1008167-1	SCREW SOCKET HD	7
1	1007126	SIG CONDITIONER ASSY SCALER	6
1	1007127	SIG CONDITIONER ASSY OPTICS	5
1	1007124	SIG CONDITIONER ASSY TORQUE MOTOR	4
1	1007123	SIG CONDITIONER ASSY GIMBAL RESOLVER	3
1	1007128	SIG CONDITIONER ASSY CDU RESOLDER	2
1	1007130	FRAME ASSY SIGNAL CONDITIONER	1
			
		PROOFED	
