0	DRAWING	TITLE	FIND	STRIKE
X	1009571	SCHEMATIC	REF	
				
1	1008174	INSULATOR	38	
1	1008173	INSULATOR	37	X
1	1008025-2	INSULATOR, BUSHING	36	
1	-1	INSULATOR, BUSHING	35	
1	MS20341-10B	NUT, HEX	34	
1	1008071-2	WASHER, FLAT	33	
2	1008024-1	WASHER, INSULATOR	32	
1	1008021-1	BUSHING, INSULATOR	31	
AR	MIL-I-15126 TYPE MFT 2.5 1/2 WIDE	INSUL TAPE	30	
AR	1006776-22	INSULATION SLEEVING	29	
AR	1006757-1	WIRE, ELECTRICAL	28	
AR	1006787-2	WIRE, ELECTRICAL	27	
15	1006775	INSULATOR, WRAPOST – MALE, MINAT	26	
15	1006782-5	CONTACT, WRAPOST – MALE, MINAT	25	
2	1000170-6	FUSE	24	
1	-4	FUSE	23	
1	-3	FUSE	22	X
1	1010751	TRANSFORMER	21	
1	1010398-1	TRANSISTOR	20	
1	1010269-1	TRANSISTOR	19	
1	1010633-1	TRANSISTOR	18	
1	1010829-25	DIODE	17	
1	1010259	DIODE	16	
1	1010372-24	DIODE	15	
6	1010362-001	DIODE	14	
3	1006789-002	CAPACITOR	13	
1	1006750-49	RESISTOR	12	
2	-56	RESISTOR	11	
2	-43	RESISTOR	10	
1	1010369-141	RESISTOR	9	
1	1010389-50	RESISTOR	8	
1	1010364-225	RESISTOR	7	
1	1010364 SEE DRAWING NOTE 11	RESISTOR	6	
1	1010267 SEE DRAWING NOTE 10	RESISTOR	5	
1	1010364-353	RESISTOR	4	
2	1010389-39	RESISTOR	3	
1	1010452-129	RESISTOR	2	
1	1008180	HEATSINK	1	
				
		PROOFED		
