0	DRAWING	TITLE	FIND
X	1010113	SCHEMATIC	REF
			
AR	1006757-8	WIRE, ELECTRICAL	21
AR	-1	WIRE, ELECTRICAL	20
12	1010367	CHOPPER	19
6	1010323	TRANSFORMER	18
2	1010364-165	RESISTOR	17
6	-363	RESISTOR	16
6	-365	RESISTOR	15
12	1010311-126	RESISTOR	14
6	1006750-32	RESISTOR	13
2	1010264-24	CAPACITOR	12
6	1010279-13	CAPACITOR	11
12	-19	CAPACITOR	10
1	1010779-12	CONNECTOR, RECEPTACLE, ELEC	9
2	1010618-4	SCREW	8
AR	1006776-22	INSULATION, SLEEVING,ELEC	7
AR	-21	INSULATION, SLEEVING,ELEC	6
6	1008161	SCREW	5
3	1015235-017	SPACER	4
1	1008199	WIRING BOARD (BOTTOM)	3
1	1008198	WIRING BOARD (TOP)	2
1	1008207	FRAME	1
			
		PROOFED	
