0	DRAWING	TITLE	FIND
X	1010112	WIRING DIAGRAM	REF
			
2	1010884-001	TERMINAL, FEED THRU, INSULATED	25
AR	1010416-23	WIRE,ELEC STRANDED, INSULATED	24
AR	QQ-W-343 TYPE S	WIRE, COPPER, 22 GAUGE	23
AR	1010416-21	WIRE, ELEC STRANDED, INSULATED	22
117	1010738-5	CONTACT, CRIMP TYPE	21
			20
1	1010812-3	SEAL	19
1	-2	SEAL	18
2	1006783-19	SCREW, BUTTON HD	17
1	1010823-1	CONNECTOR, PLUG, ELEC	16
6	MS35649-44	NUT, PLAIN HEX	15
6	MS35338-78	WASHER, LOCK	14
6	MS15795-803	WASHER, FLAT	13
4	MS24671-3	SCREW, FLAT HD	12
1	1008214	BRACKET, CONNECTOR	11
2	1006783-95	SCREW, BUTTON HD	10
1	1010779-4	CONNECTOR, PLUG, ELEC	9
1	-17	CONNECTOR, PLUG, ELEC	8
9	1010883-001	TERMINAL, STUD, INSULATED	7
1	1010819-1	CONNECTOR, PLUG, ELEC	6
2	1008171	BUSHING, CONNECTOR	5
2	1010628-14	SCREW, FLAT HD, SELF LOCKING	4
12	1010618-3	SCREW, BUTTON HD, SELF LOCKING	3
4	1010779-11	CONNECTOR, PLUG, ELEC	2
1	1007129	FRAME	1
			
		PROOFED	
