0	DRAWING	TITLE	FIND	NOTE
X	1010228	WIRING DIAGRAM	REF	Earlier revisions of drawing 1007146 call out 1010096 instead.
1	1015768	WIRE LIST AA	26	
1	1015767	WIRING HARNESS D	25	
1	1015766	WIRING HARNESS C	24	
1	1015765	WIRING HARNESS B	23	
1	1015764	WIRING HARNESS A	22	
1	1007110	BUFFER RESISTORS ASSEMBLY	21	
45	1006782-2	CONTACT, WRAPOST, MALE MIN	20	
45	1006775	INSULATOR, WRAPOST, MALE MIN	19	
2	MS21045C04	NUT, SELF-LOCKING HEX	18	
2	MS16995-11	SCREW, CAP, SOCKET HEAD	17	
3	MS16995-10	SCREW, CAP, SOCKET HEAD	16	
50	1004206	WASHER, THRUST	15	
25	MS171433	PIN, SPRING	14	
1	1008099-2	WASHER	13	
25	1004207	DRIVE CYLINDER	12	
1	1008098	SCREW, SOCKET HEAD	11	
25	1008095	SCREW, JACK	10	
1	1001317	RETAINER, JACK SCREW	9	
2	1010620-2	PIN, GUIDE	8	
16	-1	PIN, GUIDE	7	
1	1010622-1	CONNECTOR, RECEPTACLE	6	
60	1010383-1	INSULATOR, WRAPOST MALE	5	
60	1010382-1	CONTACT, BLADE EDGE CONNECTOR	4	
151	1006781-2	CONTACT, WRAPOST, FEMALE MIN	3	
151	1006774	INSULATOR, WRAPOST, FEMALE MIN	2	
1	1008106	FRAME	1	
				
		PROOFED		
