0	DRAWING	TITLE	FIND	NOTE
X	1010097	WIRING DIAGRAM	REF	The drawing number is illegible on the original drawing, but appears to be 10102xx, with the final digit being 0, 2, 3, 8, or 9.  Searches of the available scans reveal no such drawing, however.  The drawing number shown, 1010097, is taken from preceding revisions of this part list.
1	1015758	WIRE LIST A A	28	
1	1015757	WIRING HARNESS D	27	
1	1015756	WIRING HARNESS C	26	
1	1015755	WIRING HARNESS B	25	
1	1015754	WIRING HARNESS A	24	
1	1007092	BUFFER RESISTOR MODULE ASSY	23	
19	MS171433	PIN, SPRING	22	
4	MS21045CO4	NUT, SELF-LOCKING HEX	21	
4	MS16995-11	SCREW, CAP, SOCKET HEAD	20	
3	MS16995-10	SCREW, CAP, SOCKET HEAD	19	
19	1008095	SCREW, JACK	18	
19	1004207	DRIVE CYLINDER	17	
1	1008099-2	WASHER	16	
38	1004206	WASHER THRUST	15	
			14	
1	1008098	SCREW, SOCKET HEAD	13	
1	1001317	RETAINER, JACK SCREW	12	
2	1010620-2	PIN, GUIDE	11	
12	-1	PIN, GUIDE	10	
1	1010622-2	CONNECTOR, RECEPTACLE	9	
1	-1	CONNECTOR, RECEPTACLE	8	
45	1006775	INSULATOR, WRAPOST, MALE MIN	7	
45	1006782-2	CONTACT, WRAPOST, MALE MIN	6	
60	1010383-1	INSULATOR, WRAPOST, MALE	5	
60	1010382-1	CONTACT, BLADE EDGE CONNECTOR	4	
143	1006781-2	CONTACT, WRAPOST, FEMALE MIN	3	
143	1006774	INSULATOR, WRAPOST, FEMALE MIN	2	
1	1008107	FRAME	1	
				
		PROOFED		
