0	DRAWING	TITLE	FIND	STRIKE
X	1008457	WIRING DIAGRAM	REF	
				
1	1015771	WIRE LIST A-A	22	
1	1015770	WIRING HARNESS B	21	
1	1015769	WIRING HARNESS A	20	
1	1007093	BUFFER RESISTORS MODULE ASSY	19	
15	MS171433	PIN, SPRING	18	X
2	MS21045C04	NUT, SELF-LOCKING HEX	17	
2	MS16995-11	SCREW, CAP, SOCKET HEAD	16	
3	MS16995-10	SCREW, CAP, SOCKET HEAD	15	
15	1008172	SCREW, JACK	14	X
15	1004207	DRIVE CYLINDER	13	X
1	1008099-2	WASHER	12	
30	1004206	WASHER THRUST	11	X
1	1008098	SCREW, SOCKET HEAD	10	
1	1001317	RETAINER, JACK SCREW	9	
2	1010620-5	PIN, GUIDE	8	
10	MS16556-604	PIN, GUIDE	7	
1	1010622-1	CONNECTOR, RECEPTACLE	6	
84	1010383-1	INSULATOR, WRAPOST, MALE	5	
84	1010382-1	CONTACT, BLADE EDGE CONNECTOR	4	
98	1006781-2	CONTACT, WRAPOST, FEMALE MIN	3	
98	1006774	INSULATOR, WRAPOST, FEMALE MIN	2	
1	1008110	FRAME	1	
				
		PROOFED		
