-11	0	DRAWING	TITLE	FIND
10		MS16995-11	SCREW, CAP SOCKET HD. HEX	14
10		MS16995-9	SCREW, CAP SOCKET HD. HEX	13
5		1021711-002	TRAY STOP	12
5		1021711-001	TRAY STOP	11
1		1021712	FRONT PLATE	10
225	225	1006781-3	CONTACT, WRAPOST, FEMALE, MIN	9
225	225	1006774	INSULATOR, WRAPOST, FEMALE, MIN	8
720	720	1010379-5	CONTACT ELEC, FEMALE	7
720	720	1010380	INSULATOR, BUSHING, FEMALE	6
4	4	1008153	PIN, STEP	5
4	4	MS21209-F1-20	INSERT, SCREW LOCKING	4
8	8	1010731-296	SCREW, FLAT HD, HEX SOC	3
	1	1008151	FRONT PLATE	2
1	1	1008150	BOTTOM PLATE	1
				
			PROOFED	
