0	DRAWING	TITLE	FIND	STRIKE
X	1010140	SCHEMATIC, ELECTRICAL	REF	
2	1010311 SEE DRAWING NOTE 15	RESISTOR	49	
2	1010377-237	RESISTOR	48	
1	1008185	INSULATOR TOP, AMPL	47	
AR	1006776-20	INSULATION SLEEVING	46	
1	MS20341-10B	NUT HEX	45	
1	MS20341-416B	NUT HEX	44	
AR	1006757-8	WIRE ELECTRICAL .020 DIA	43	
AR	MIL-I-23053 -8	INSULATION SLEEVING	42	
AR	1006776-21	INSULATION SLEEVING	41	
AR	1006757-1	WIRE ELECT .010 X .020	40	
35	1006782-5	CONTACT WRAPOST MALE	39	
35	1006775	INSULATOR WRAPOST MALE	38	
10	1008070-5	WASHER, FLAT	37	
10	MS20341-4A	NUT HEX	36	
10	MS35338-78	WASHER, LOCK	35	
1	1008021-1	BUSHING INSULATOR	34	
1	-2	BUSHING INSULATOR	33	
1	1008020-2	WASHER, FLAT	32	
1	-2	WASHER, FLAT	31	
1	1008024-1	WASHER INSULATOR	30	
1	-2	WASHER INSULATOR	29	
1	-4	WASHER INSULATOR	28	
1	-3	WASHER INSULATOR	27	
1	1018900	AMPLIFIER	26	
2	1000284	AMPLIFIER	25	
2	1010353-1	RELAY	24	
1	1010273-1	TRANSISTOR	23	
6	1010362-3	DIODE	22	
1	1010441-2	DIODE	21	
1	1010331-20	DIODE	20	
1	1010440-1	DIODE	19	
2	1010377 SEE DRAWING NOTE 14	RESISTOR	18	
			17	
2	1010364-368	RESISTOR	16	
1	-44	RESISTOR	15	
1	1010361-112	RESISTOR	14	
1	1010452-167	RESISTOR	13	
2	1010450-9	RESISTOR	12	
1	1010604-22	RESISTOR	11	
1	1010450-10	RESISTOR	10	
2	-12	RESISTOR	9	
1	-13	RESISTOR	8	
1	-14	RESISTOR	7	
2	-3	RESISTOR	6	
2	-2	RESISTOR	5	
1	-11	RESISTOR	4	
1	1008074	INSULATOR BOTTOM	3	X
1	1008186	INSULATOR TOP	2	
1	1007072	HEATSINK	1	
				
		PROOFED		
