0	DRAWING	TITLE	FIND	STRIKE	NOTE
X	1008454	WIRING DIAGRAM	REF		
					
1	1015753	WIRE LIST AA	26		
1	1015752	WIRING HARNESS D	25		
1	1015751	WIRING HARNESS C	24		
1	1015750	WIRING HARNESS B	23		
1	1015749	WIRING HARNESS A	22		
45	1006782-2	CONTACT, WRAPOST MAIL MIN	21		
45	1006775	INSULATOR, MALE WRAPOST MIN	20		
1	1007099	BUFFER RESISTORS ASSEMBLY	19		
2	MS21045C04	NUT, SELF-LOCKING, HEX	18		The original drawing incorrectly calls out MA21045C04.
2	MS16995-11	SCREW, CAP, SOCKET HEAD	17		
2	MS16995-3	SCREW, CAP, SOCKET HEAD	16		
1	1010622-1	CONNECTOR, RECEPTACLE	15		
2	1010620-5	PIN, GUIDE	14		
18	MS16556-604	PIN, GUIDE	13		
60	1010382-1	CONTACT, BLADE EDGE CONNECTOR	12		
60	1010383-1	INSULATOR, WRAPOST, MALE	11		
188	1006781-2	CONTACT, WRAPOST, FEMALE, MIN	10		
188	1006774	INSULATOR, WRAPOST, FEMALE, MIN	9		
27	MS171433	PIN, SPRING	8	X	
54	1004206	WASHER, THRUST	7	X	
27	1004207	DRIVE CYLINDER	6	X	
27	1008172	SCREW, JACK	5	X	
1	1008099-2	WASHER	4		
1	1008098	SCREW, SOCKET HEAD	3		
1	1001317	RETAINER JACK SCREW	2		
1	1008525	FRAME	1		
					
		PROOFED			
