-011	DRAWING	TITLE	FIND
X	1010053	SCHEMATIC	REF
			
2	1008272-001	STRIP, REINFORCING	25
AR	1006757-1	WIRE, ELECTRICAL	24
AR	1006776-22	INSULATION, SLEEVING, ELEC	23
AR	1006787-2	WIRE, ELECTRICAL	22
3	1010363 SEE DRAWING NOTE 18	RESISTOR	21
6	1006750-58	RESISTOR	20
6	-15	RESISTOR	19
3	1010364-769	RESISTOR	18
3	-635	RESISTOR	17
6	-501	RESISTOR	16
3	1006750-63	RESISTOR	15
3	-52	RESISTOR	14
3	-32	RESISTOR	13
3	1010359-23	CAPACITOR	12
3	-17	CAPACITOR	11
3	1010372-15	DIODE	10
3	1010633-2	TRANSISTOR MATCHED PAIR	9
3	1010252-1	TRANSISTOR	8
3	1007080	TRANSFORMER, SHIELDED ASSY	7
3	1010291-1	TRANSFORMER	6
1	1010472-2	CONNECTOR, RECP, ELECTRICAL	5
3	1008053	SPACER	4
1	1008061	WIRING BOARD, BOTTOM	3
1	1008060	WIRING BOARD, TOP	2
1	1007210-011	HOUSING, INSEPARABLE ASSY	1
			
		PROOFED	
