-11	FIND	DRAWING	TITLE	STRIKE
2	32	1010829-012	DIODE	
X	REF	1010234	SCHEMATIC DIAGRAM, ELECT	
1	30	1010359-29	CAPACITOR, FIXED	
2	29	1008001-2	RETAINER, SCREW	
2	28	1008002-3	SCREW, EXT RELIEVED BODY	
2	27	MS35338-78	WASHER, LOCK	
2	26	MS15795-303	WASHER, FLAT	
AR	25	1006776-20	INSULATION, SLEEVING, ELECT	
AR	24	1006776-22	INSULATION, SLEEVING, ELECT	
AR	23	1006787-2	WIRE, ELECTRICAL, NICKEL, IRON	
AR	22	1006757-1	WIRE, ELECTRICAL, NICKEL, RECT	
1	21	1010397-001	TRANSISTOR	
1	20	1010345-1	TRANSISTOR	
1	19	1010252-001	TRANSISTOR	
2	18	1010265-12	DIODE	X
1	17	1010372-1	DIODE	
1	16	1010372-20	DIODE	
1	15	1010320-13	CAPACITOR, FIXED	
1	14	1006755-57	CAPACITOR, FIXED	
1	13	1010885-1 THRU 16	RESISTOR, FIXED	
2	12	1010312-030	RESISTOR, FIXED	
1	11	1006750-60	RESISTOR, FIXED	
1	10	1010369-98	RESISTOR, FIXED	
2	9	1006750-64	RESISTOR, FIXED	
1	8	1010369-96	RESISTOR, FIXED	
2	7	1006750-63	RESISTOR, FIXED	
2	6	1010321-398	RESISTOR, FIXED	
2	5	1010364-501	RESISTOR, FIXED	
8	4	1006784-59	TERMINAL FEEDTHRU	
2	3	1008030	SPACER	
1	2	1008292	WIRING BOARD, B	
1	1	1008291	WIRING BOARD, A	
				
			PROOFED	
