-41	-31	-21	-11	FIND	DRAWING	TITLE
1				23	1007525-021	POWER SUPPLY MODULE ASSY
AR				22	1006879	MOISTURE-PROOFING
18				21	1008861-018	SCREW, CAP, SOCKET HEAD
AR				20	1006879	SILICONE COMPOUND
1				19	1007591-021	800 CPS COMPENSATION
3				18	1007590-031	G&N SUB-SYSTEM SUPPLY FILTER
1				17	1007548-021	AMPLIFIER, 5% 800 CPS
1				16	1007258-031	FRAME ASSEMBLY
	1			15	1007548-011	AMPLIFIER, 5% 800 CPS
	3			14	1007590-021	G&N SUB-SYSTEM SUPPLY FILTER
	1	1		13	1006879	THERMAL GREASE
	1	1		12	1007525-011	POWER SUPPLY MODULE ASSY
	1	1		11	1007591-011	800 CPS COMPENSATION
		3		10	1007590-011	G&N SUB-SYSTEM SUPPLY FILTER
		1		9	1007438-011	AMPLIFIER, 5% 800 CPS
	1	1		8	1007258-021	FRAME ASSEMBLY
18	18	18	18	7	MS15795-805	WASHER, FLAT
	18	18	18	6	NAS1352-06-8	SCREW, CAP, SOCKET HEAD
			1	5	1007125	POWER SUPPLY MODULE ASSY
			1	4	1007095	800 CPS COMPENSATION
			3	3	1007090	G&N SUB-SYSTEM SUPPLY FILTER
			1	2	1007048	AMPLIFIER, 5% 800 CPS
			1	1	1007258-011	FRAME ASSEMBLY
						
						PROOFED
