-31	-21	-11	FIND	DRAWING	TITLE
AR			30	SEE DRAWING NOTE 18	MOISTURE PROOFING
1			29	1008335	GASKET, MINI-WASP
1			28	1008337	GASKET, CONNECTOR
1			27	1008338	GASKET, CONNECTOR
1			26	1008333	RETAINER, JACK SCREW
X	X	X	REF	1010233	WIRING DIAGRAM
AR	AR	AR	24	QQ-S-571 SN60	SOLDER
AR	AR	AR	23	MIL-P-8585	ZINC CHROMATE PRIMER
1	1	1	22	1008260	WIRE LIST AA
1	1	1	21	1008259	WIRING HARNESS B
1	1	1	20	1008258	WIRING HARNESS A
1	1	1	19	1007093	BUFFER RESISTORS MODULE ASSY
			18		
2	2	2	17	MS21045C04	NUT, SELF-LOCKING HEX
2	2	2	16	MS16995-11	SCREW, CAP, SOCKET HEAD
3	3	3	15	MS16995-10	SCREW, CAP, SOCKET HEAD
	1		14	1008551	GASKET
	1		13	1008552	GASKET
1	1	1	12	1008099-2	WASHER
			11		
1	1	1	10	1008098	SCREW, SOCKET HEAD
	1	1	9	1001317	RETAINER, JACK SCREW
2	2	2	8	1010620-5	PIN, GUIDE
12	12	12	7	MS16556-604	PIN, GUIDE
1	1	1	6	1010821-1	CONNECTOR, RECEPTACLE
84	84	84	5	1010383-1	INSULATOR, WRAPOST, MALE
84	84	84	4	1010382-1	CONTACT, BLADE EDGE, CONNECTOR
113	113	113	3	1006781-2	CONTACT, WRAPOST, FEMALE
113	113	113	2	1006774	INSULATOR, WRAPOST, FEMALE
1	1	1	1	1008257	FRAME (INSEPARABLE ASSEMBLY)
					
					PROOFED
