-21	-11	DRAWING	TITLE	FIND
AR		SEE DRAWING NOTE 20	MOISTUREPROOFING	54
X	X	1010034	SCHEMATIC	REF
1	1	1010385	DIODE	53
1	1	1008540-12	GASKET, CONNECTOR MINIATURE	52
AR	AR	SEE DRAWING NOTE 12	INSULATION, TAPE	51
AR	AR	1006776-22	INSULATION, SLEEVING	50
AR	AR	1006776-20	INSULATION, SLEEVING	49
27	27	1006782-4	CONTACT WRAPOST MALE MINIATURE	48
27	27	1006775	INSULATOR WAPOST MALE MINIATURE	47
AR	AR	1006757-8	WIRE ELEC .020 DIA	46
AR	AR	1006757-1	WIRE ELEC .010 X .020	45
14	14	1008025-1	INSULATOR BUSHING	44
AR	AR	1006776-21	INSULATION, SLEEVING	43
1	1	1008540-15	GASKET, CONNECTOR MINIATURE	42
2	2	1010344-2	TRANSFORMER	41
4	4	1010366	TRANSFORMER	40
2	2	1008814-1	TRANSISTOR	39
8	8	1010357	TRANSISTOR	38
4	4	1010397-1	TRANSISTOR	37
2	2	1010309-005	COIL	36
2	2	1010830-1	DIODE	35
10	10	1010370	DIODE	34
2	2	1010265-12	DIODE	33
10	10	1010362-2	DIODE	32
1	1	1010359-11	CAPACITOR	31
2	2	1010375-21	CAPACITOR	30
5	5	1010359-17	CAPACITOR	29
2	2	1010279-223	CAPACITOR	28
2	2	1010359-29	CAPACITOR	27
4	4	1010393-37	CAPACITOR	26
2	2	1006755-65	CAPACITOR	25
6	6	1006755-69	CAPACITOR	24
1	1	1006750-44	RESISTOR	23
2	2	1006750-72	RESISTOR	22
2	2	1010369-140	RESISTOR	21
2	2	1006750-40	RESISTOR	20
6	6	1006750-52	RESISTOR	19
2	2	1006760-44	RESISTOR	18
2	2	1006750-54	RESISTOR	17
2	2	1006750-63	RESISTOR	16
2	2	1006750-8	RESISTOR	15
3	3	1006750-56	RESISTOR	14
2	2	1006750-65	RESISTOR	13
2	2	1010312-029	RESISTOR	12
8	8	1010364-252	RESISTOR	11
2	2	1006750-30	RESISTOR	10
2	2	1006750-73	RESISTOR	9
2	2	1010364-444	RESISTOR	8
2	2	1006750-33	RESISTOR	7
2	2	1010364-60	RESISTOR	6
4	4	1006750-49	RESISTOR	5
2	2	1006750-23	RESISTOR	4
1	1	1008057-2	INSULATOR, BOTTOM	3
1	1	1008057-1	INSULATOR, TOP	2
1	1	1008066	HEATSINK	1
				
			PROOFED	
