-21	-11	DRAWING	TITLE	FIND
AR		SEE DRAWING NOTE 19	MOISTUREPROOFING	62
1	1	1008540-11	GASKET, CONNECTOR MINIATURE	61
X	X	1010013	SCHEMATIC	REF
1	1	1008540-10	GASKET, CONNECTOR MINIATURE	60
AR	AR	1006776-20	INSULATION SLEEVING	59
AR	AR	1006776-21	INSULATION SLEEVING	58
21	21	1006775	INSULATOR, WRAPOST – MALE, MINAT	57
AR	AR	1006776-22	INSULATION SLEEVING	56
AR	AR	1006757-8	WIRE ELEC .020 DIA	55
AR	AR	1006757-1	WIRE ELEC .010 ± .020	54
10	10	1010292-2	TERMINAL FEED THRU INSULATED	53
21	21	1006782-4	CONTACT, WRAPOST – MALE, MINAT	52
5	5	1010376-1	TRANSISTOR	51
3	3	1010395	TRANSISTOR	50
14	14	1010385	DIODE	49
1	1	1010830-9	DIODE	48
1	1	1006777-19	CAPACITOR, CER	47
1	1	1006755-79	CAPACITOR, TANT	46
1	1	1006755-83	CAPACITOR, TANT	45
2	2	1006777-8	CAPACITOR, CER	44
1	1	1006777-11	CAPACITOR, CER	43
1	1	1006777-15	CAPACITOR, CER	42
2	2	1006777-17	CAPACITOR, CER	41
3	3	1006777-24	CAPACITOR, CER	40
2	2	1006755-69	CAPACITOR, TANT	39
2	2	1006777-5	CAPACITOR, CER	38
				37
4	4	1006777-31	CAPACITOR, CER	36
1	1	1006777-28	CAPACITOR, CER	35
2	2	1006777-27	CAPACITOR, CER	34
2	2	1010264-23	CAPACITOR, MYLAR	33
2	2	1006777-3	CAPACITOR, CER	32
2	2	1006750-63	RESISTOR, FIXED FILM	31
1	1	1006750-24	RESISTOR, FIXED FILM	30
1	1	1006750-45	RESISTOR, FIXED FILM	29
1	1	1006750-12	RESISTOR, FIXED FILM	28
1	1	1006750-46	RESISTOR, FIXED FILM	27
1	1	1006750-36	RESISTOR, FIXED FILM	26
1	1	1006750-51	RESISTOR, FIXED FILM	25
2	2	1006750-60	RESISTOR, FIXED FILM	24
2	2	1006750-66	RESISTOR, FIXED FILM	23
10	10	1006750-56	RESISTOR, FIXED FILM	22
2	2	1006750-73	RESISTOR, FIXED FILM	21
4	4	1006750-49	RESISTOR, FIXED FILM	20
4	4	1006750-39	RESISTOR, FIXED FILM	19
2	2	1006750-54	RESISTOR, FIXED FILM	18
2	2	1006750-55	RESISTOR, FIXED FILM	17
2	2	1006750-65	RESISTOR, FIXED FILM	16
4	4	1006750-80	RESISTOR, FIXED FILM	15
4	4	1006750-53	RESISTOR, FIXED FILM	14
3	3	1006750-31	RESISTOR, FIXED FILM	13
2	2	1006750-41	RESISTOR, FIXED FILM	12
4	4	1006750-25	RESISTOR, FIXED FILM	11
2	2	1006750-43	RESISTOR, FIXED FILM	10
1	1	1010377-51	RESISTOR, FIXED WW	9
1	1	1010377-106	RESISTOR, FIXED WW	8
1	1	1006750-42	RESISTOR, FIXED FILM	7
2	2	1010377-105	RESISTOR, FIXED WW	6
2	2	1010377-49	RESISTOR, FIXED WW	5
5	5	1006750-32	RESISTOR, FIXED FILM	4
1	1	1008037-2	INSULATOR, BOTTOM	3
1	1	1008037-1	INSULATOR, TOP	2
1	1	1008036	HEATSINK	1
				
			PROOFED	
