-21	-11	FIND	DRAWING	TITLE	STRIKE	NOTE
	X	REF	1010045	SCHEMATIC, ELECTRICAL		
						
AR		44	SEE DRAWING NOTE 28	MOISTURE PROOFING		Uses 1008866 and 1008867 per 1002292.
1	1	43	1008540-3	GASKET, CONNECTOR, MINIATURE		
1	1	42	1008540-6	GASKET, CONNECTOR, MINIATURE		
AR	AR	41	1006757-8	WIRE, ELECTRICAL, .020 DIA		
AR	AR	40	1006757-1	WIRE, ELECTRICAL, .010X.020		
AR	AR	39	1006757-9	WIRE, ELECTRICAL, .032 DIA		
AR	AR	38	1006757-22	INSULATION SLEEVING, ELECTRICAL		
AR	AR	37	1006757-21	INSULATION SLEEVING, ELECTRICAL		
AR	AR	36	1006776-20	INSULATION SLEEVING, ELECTRICAL		
AR	AR	35	MIL-I-15126 MFT 2.5 1/2 IN. WIDE	INSUL TAPE		
1	1	34	1010273-2	TRANSISTOR (MATCHED PAIR)		
1	1	33	1010324	TRANSFORMER		
1	1	32	1010307	TRANSFORMER		
1	1	31	1010431	TRANSISTOR		
1	1	30	1008813-3	TRANSISTOR (MATCHED PAIR)		
1	1	29	1010829-2	SEMICONDUCTOR DEVICE, DIODE		
1	1	28	1010372-15	SEMICONDUCTOR DEVICE, DIODE		
2	2	27	1010264-9	CAPACITOR, FIXED		
2	2	26	1010264-37	CAPACITOR, FIXED		
1	1	25	1010264-57	CAPACITOR, FIXED		
1	1	24	1010264-73	CAPACITOR, FIXED		
2	2	23	1010264-25	CAPACITOR, FIXED		
2	2	22	1010264-12	CAPACITOR, FIXED		
2	2	21	1006750-1	RESISTOR, FIXED		
2	2	20	1010369-1	RESISTOR, FIXED		
1	1	19	1010364	RESISTOR, FIXED		See drawing note 18 for p/n dash number.
1	1	18	1010364-573	RESISTOR, FIXED		
2	2	17	1010364-327	RESISTOR, FIXED		
1	1	16	1010364-309	RESISTOR, FIXED		
1	1	15	1010364-273	RESISTOR, FIXED		
2	2	14	1008025-2	INSULATOR, BUSHING		
2	2	13	1000093-13	SCREW		
2	2	12	1008024-4	WASHER, INSULATOR		
2	2	11	1008024-3	WASHER, INSULATOR		
2	2	10	1008021-2	BUSHING, INSULATOR		
2	2	9	1008071-5	WASHER, FLAT		
2	2	8	MS20341-416B	NUT		
8	8	7	1006775	INSULATOR		
8	8	6	1006782-5	CONTACT, WRAPOST - MALE		
		5				
	1	4	1015712	INSULATOR	X	
	1	3	1015711	INSULATOR	X	
		2				
1	1	1	1015709	HEATSINK		
						
				PROOFED		
