-11	FIND	DRAWING	TITLE
X	REF	1015102	SCHEMATIC DIAGRA, ELECTRICAL
			
			
1	18	1008540-6	GASKET CONNECTOR MINIATURE
1	17	1008540-14	GASKET CONNECTOR MINIATURE
AR	16	1006776-21	INSULATION SLEEVING NO. 22
AR	15	1006787-2	WIRE, FEED THRU
2	14	1010329-1	TRANSFORMER
2	13	1010291-3	TRANSFORMER
4	12	1010372-21	DIODE
8	11	1010392-1	DIODE
6	10	1006750-63	RESISTOR
AR	9	1006757-1	.010X.020 NICKEL RIBBON
4	8	1010461	TRANSFORMER SHIELD
1	7	1015147	WAFERBOARD LOWER
2	6	1010485-98	4-40 FIL HD SCREW 3/16 LONG (NYLON)
1	5	1015146	WAFERBOARD UPPER
AR	4	1006776-20	INSULATION SLEEVING
20	3	1006775	INSULATOR, WRAPOST - MALE MINAT
20	2	1006782-5	CONTACT WRAPOST MALE MINAT
1	1	1015107	FRAME - MODULE
			
			PROOFED
