-11	FIND	DRAWING	TITLE
X	REF	1015116	SCHEMATIC, ELECTRICAL
1	49	1008540-14	GASKET CONNECTOR, MINIATURE
AR	48	1006776-22	INSULATION SLEEVING
1	47	1006750-57	RESISTOR - FIXED
1	46	1006755-15	CAPACITOR
1	45	1006750	RESISTOR - FIXED - SELECTED
1	44	1010359	CAPACITOR VALUE SELECTED
AR	43	1006776-20	INSULATION SLEEVING
14	42	1006775	INSULATOR, WRAPOST - MALE MINAT
AR	41	1006787-2	WIRE - FEED THRU #24AWG
1	40	1010365	TRANSFORMER
2	39	1010276	TRANSFORMER
1	38	1010269-2	TRANSISTOR (MATCHED PAIR)
1	37	1010357	TRANSISTOR
2	36	1010398-1	TRANSISTOR
2	35	1010397	TRANSISTOR
3	34	1010370	DIODE
1	33	1010372-24	DIODE
2	32	1010279-218	CAPACITOR
14	31	1006782-5	CONTACT, BLADE EDGE CONNECTOR
1	30	1006755-69	CAPACITOR
1	29	1010375-124	CAPACITOR
1	28	1010359-17	CAPACITOR
1	27	1010279-226	CAPACITOR
1	26	1006755-29	CAPACITOR
1	25	1010438-102	CAPACITOR
2	24	1006755-13	CAPACITOR
1	23	1010375	CAPACITOR
2	22	1010389-8	RESISTOR - FIXED
1	21	1006760-48	RESISTOR - FIXED
1	20	1006750-78	RESISTOR - FIXED
1	19	1006750-31	RESISTOR - FIXED
2	18	1006750-73	RESISTOR - FIXED
2	17	1006750-39	RESISTOR - FIXED
1	16	1006750-61	RESISTOR - FIXED
1	15	1006750-71	RESISTOR - FIXED
1	14	1006750-15	RESISTOR - FIXED
2	13	1006750-43	RESISTOR - FIXED
2	12	1006750-56	RESISTOR - FIXED
1	11	1006750-8	RESISTOR - FIXED
AR	10	1006776-21	INSULATION SLEEVING
AR	9	1006757-1	WIRE, NICKEL RIBBON
2	8	AN500D-2-4	SCREW
1	7	1015135-017	SPACER
1	6	AN500D-4-4	SCREW, PAN HEAD
1	5	AN500D-4-12	SCREW, PAN HEAD
1	4	1015131	SPACER
1	3	1015140	WAFER BOARD, UPPER
1	2	1015139	WAFER BOARD, LOWER
1	1	1015128	FRAME ASSEMBLY
			
			PROOFED
