-11	DRAWING	TITLE	FIND
X	1015148	SCHEMATIC, DIAGRAM ELEC	REF
			
1	1008540-14	GASKET, CONNECTOR MINIATURE	48
AR	1006776-22	INSULATION, SLEEVING	47
1	1010269-1	TRANSISTOR	46
3	1010397-1	TRANSISTOR	45
1	1010372-24	DIOD	44
1	1006755-77	CAPACITOR	43
1	1010375-66	CAPACITOR	42
1	1010359-11	CAPACITOR	41
1	1006755-65	CAPACITOR	40
2	1010359-27	CAPACITOR	39
2	1006755-69	CAPACITOR	38
1	1010375-124	CAPACITOR	37
1	1006755-20	CAPACITOR	36
1	1010359-27	CAPACITOR	35
1	1006750-18	RESISTOR FIXED	34
1	1006750-7	RESISTOR FIXED	33
1	1010368-11	RESISTOR FIXED	32
1	1006750-56	RESISTOR FIXED	31
1	1010364-749	RESISTOR FIXED	30
1	1006750-64	RESISTOR FIXED	29
1	1006750-70	RESISTOR FIXED	28
			27
1	1006750-34	RESISTOR FIXED	26
1	1006750-19	RESISTOR FIXED	25
1	1010364-757	RESISTOR FIXED	24
1	1006750-44	RESISTOR FIXED	23
1	1006750-69	RESISTOR FIXED	22
			21
1	1006750-20	RESISTOR FIXED	20
1	1006750-72	RESISTOR FIXED	19
1	1006750-77	RESISTOR FIXED	18
1	1010364-521	RESISTOR FIXED	17
1	1010364-727	RESISTOR FIXED	16
3	1006750-84	RESISTOR FIXED	15
AR	1006787-2	WIRE – FEED THRU #22 AWG	14
AR	1006776-21	INSULATION, SLEEVING	13
14	1006775	INSULATOR, WRAPOST – MALE	12
14	1006782-5	CONTACT, BLADE EDGE CONN.	11
AR	1006776-20	INSULATION, SLEEVING	10
AR	1006757-1	WIRE, NICKEL RIBBON	9
2	AN500D-2-4	SCREW	8
1	1015135-015	SPACER	7
1	AN500D-4-4	SCREW, PAN HEAD	6
1	AN500D-4-12	SCREW, PAN HEAD	5
1	1015131	SPACER	4
1	1015157	WAFER BOARD, UPPER	3
1	1015156	WAFER BOARD, LOWER	2
1	1015152	FRAME ASSY	1
			
		PROOFED	
