-11	FIND	DRAWING	TITLE
X	REF	1015126	SCHEMATIC, ELECTRICAL
			
1	29	1008540-8	GASKET, CONNECTOR – MINAT
3	28	1008540-11	GASKET, CONNECTOR – MINAT
AR	27	1006776-20	SLEEVING, ELECT. INSULATING
6	26	1010461	SHIELD, MAGNETIC
2	25	AN500D-4-4	SCREW
4	24	AN500D-2-4	SCREW
2	23	1015135-016	SPACER
AR	22	1006757-1	WIRE, NICKEL RIBBON .010 X .020
AR	21	1006776-21	SLEEVING, ELECT. INSULATING
AR	20	1006776-22	SLEEVING, ELECT. INSULATING
AR	19	1006787-2	WIRE, FEED THROUGH #24 AWG
41	18	1006775	INSULATOR, WRAPOST – MALE
41	17	1006782-5	CONTACT, BLADE EDGE CONN.
6	16	1010342	TRANSISTOR
6	15	1010329-1	TRANSFORMER
1	14	1010829-13	SEMICONDUCTOR DEVICE DIODE
6	13	1010359-29	CAPACITOR, FIXED
1	12	1006755-84	CAPACITOR, FIXED
12	11	1006755-69	CAPACITOR, FIXED
6	10	1006750-51	RESISTOR, FIXED
1	9	1006750-26	RESISTOR, FIXED
5	8	1010374-54	RESISTOR, FIXED
11	7	1010374-29	RESISTOR, FIXED
6	6	1010374-1	RESISTOR, FIXED
6	5	1010364-765	RESISTOR, FIXED
6	4	1010364-719	RESISTOR, FIXED
1	3	1015732	WAFER BOARD, LOWER
1	2	1015733	WAFER BOARD, UPPER
1	1	1015734	FRAME, MODULE
			
			PROOFED
