-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
AR	AR			SEE DRAWING NOTE 29	MOISTUREPROOFING	51	
AR	AR	AR	AR	1010848-2	WIRE, ELECTRICAL - NICKEL	50	
	X	X		PS1007007 TYPE III	PROCUREMENT SPEC.	REF	
X			X	PS1007007 TYPE I	PROCUREMENT SPEC.	REF	
2	2	2	2	1010830-27	DIODE	49	
2	2	2	2	1010830-26	DIODE	48	
X	X	X	X	1010008	ELEC SCHEMATIC DIAGRAM	REF	
1	1	1	1	1008540-11	GASKET, CONNECTOR MINIATURE	47	
		1	1	1010286-26	DIODE	46	X
AR	AR	AR	AR	1006776-20	INSULATION SLEEVING	45	
AR	AR	AR	AR	1006776-21	INSULATION SLEEVING	44	
2	2	2	2	1006784-6	TERMINAL, FEED THRU, INSULATED	43	
11	11	11	11	1006782-4	CONTACT, WRAPOST - MALE, MINAT	42	
11	11	11	11	1006775	INSULATOR, WRAPOST - MALE, MINAT	41	
AR	AR	AR	AR	1006776-22	INSULATOR, SLEEVING	40	
AR	AR	AR	AR	1006757-8	WIRE, ELEC .020 DIA	39	
AR	AR	AR	AR	1006757-1	WIRE, ELEC .010 X .020	38	
1	1	1	1	1008025-1	INSULATOR, BUSHING	37	
4	4	4	4	1010292-2	TERMINAL, FEED THRU, INSULATED	36	
1	1	1	1	1010786-1	DIODE	35	
1	1	1	1	1010372-19	DIODE	34	
2	2	2	2	1010372-15	DIODE	33	
		2	2	1010283-27	DIODE	32	X
		1	1	1010372-32	DIODE	31	X
1	1	1	1	1010372-3	DIODE	30	
1	1	1	1	1010357-1	TRANSISTOR	29	
3	3	3	3	1010376-3	TRANSISTOR	28	
2	2	2	2	1006777-6	CAPACITOR, CER	27	
1	1	1	1	1010264-24	CAPACITOR, MYLAR	26	
2	2	2	2	1010618-3	SCREW, BUTTON HD	25	
1	1	1	1	1010836-22	RESISTOR, FIXED	24	
1	1	1	1	SEE DRAWING NOTE 12	RESISTOR, FIXED	23	
1	1	1	1	SEE DRAWING NOTE 11	RESISTOR, FIXED	22	
1	1	1	1	SEE DRAWING NOTE 10	RESISTOR, FIXED	21	
1	1	1	1	1010377-25	RESISTOR, FIXED	20	
1	1	1	1	1006760-30	RESISTOR, FIXED	19	
1	1	1	1	1010399-49	RESISTOR, FIXED	18	
1	1	1	1	1006760-46	RESISTOR, FIXED	17	
1	1	1	1	1006750-68	RESISTOR, FIXED	16	
1	1	1	1	1006750-1	RESISTOR, FIXED	15	
1	1	1	1	1006750-84	RESISTOR, FIXED	14	
1	1	1	1	1006750-66	RESISTOR, FIXED	13	
2	2	2	2	1006750-16	RESISTOR, FIXED	12	
1	1	1	1	1006760-48	RESISTOR, FIXED	11	
1	1	1	1	1010377-36	RESISTOR, FIXED	10	
2	2	2	2	1010377-23	RESISTOR, FIXED	9	
2	2	2	2	1010364-681	RESISTOR, FIXED	8	
2	2	2	2	1010377-39	RESISTOR, FIXED	7	
1	1	1	1	1010374-126	RESISTOR, FIXED	6	
5	5	5	5	1006750-80	RESISTOR, FIXED	5	
1	1	1	1	1010373-12	RESISTOR, VARIABLE	4	
1	1	1	1	1008010-2	INSULATOR BOTTOM	3	
1	1	1	1	1008010-1	INSULATOR TOP	2	
1	1	1	1	1007003	HEATSINK	1	
							
					PROOFED		
