-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
X	X		1009541	SCHEMATIC	REF	
		X	1010009	SCHEMATIC	REF	
AR			SEE DRAWING NOTE 26	MOISTUREPROOFING	31	
AR	AR	AR	1010848-2	WIRE, ELECTRICAL – NICKEL	30	
1	1		1008585	INSULATOR, TOP	29	
AR	AR		QQ-W-343 TYPE S	WIRE, COPPER	28	
1	1	1	1008540-13	GASKET, CONNECTOR MINIATURE	27	
	AR	AR	1006776-22	INSULATION SLEEVING	26	X
3	3	3	1006784-6	TERMINAL, FEEDTHRU	25	
AR	AR	AR	1006776-20	INSULATION SLEEVING	24	
4	4	4	1000093-3	SCREW, BUTTON HD	23	
13	13	13	1006782-4	CONTACT, WRAPOST MALE MINAT	22	
13	13	13	1006775	INSULATOR, WRAPOST MALE MINAT	21	
	AR	AR	1006757-8	WIRE, ELEC	20	X
AR	AR	AR	1006757-1	WIRE, ELEC	19	
AR	AR	AR	1006776-21	INSULATION SLEEVING	18	
					17	
					16	
1	1	1	SEE DRAWING NOTE 10	RESISTOR, WW	15	
1	1	1	SEE DRAWING NOTE 10	RESISTOR, WW	14	
1	1	1	1010373-8	RESISTOR, VARIABLE	13	
2	2	2	SEE DRAWING NOTE 10	CAPACITOR	12	
2	2	2	1010289-18	CAPACITOR	11	
1	1	1	1010834-12	RESISTOR, WW	10	
2	2	2	1010250-1	RESISTOR, WW	9	
2	2	2	SEE DRAWING NOTE 10	RESISTOR, WW	8	
1	1	1	1010283-18	RESISTOR, WW 9.3K 0.1W PLUS-MINUS 0.1%	7	
1	1	1	SEE DRAWING NOTE 10	RESISTOR	6	
2	2	2	1010262-2	RESISTOR, WW	5	
1	1	1	1010373-9	RESISTOR, VARIABLE	4	
	1	1	1008018-2	INSULATOR, BOTTOM	3	X
		1	1008018-1	INSULATOR, TOP	2	
1	1	1	1008013	HEATSINK	1	
						
				PROOFED		
