-21	-11	DRAWING	TITLE	FIND	STRIKE
X	X	1009521	SCHEMATIC	REF	
AR		SEE DRAWING NOTE 24	MOISTUREPROOFING	39	
AR	AR	1010848-2	WIRE, ELECTRICAL – NICKEL	38	
2	2	1008540-8	GASKET	37	
AR	AR	1006776-21	INSULATION SLEEVING	36	
1	1	1010753	TRANSFORMER	35	
2	2	1010759	TRANSFORMER	34	
4	4	1010397-1	TRANSISTOR	33	
2	2	1010367	TRANSISTOR	32	
2	2	1010277-6	INDUCTOR	31	
2	2	1010830-11	DIODE	30	
2	2	1010279-111	CAPACITOR	29	
2	2	1010264-13	CAPACITOR	28	
2	2	1010264-11	CAPACITOR	27	
2	2	1006755-79	CAPACITOR	26	
6	6	1006755-69	CAPACITOR	25	
2	2	1006755-13	CAPACITOR	24	
4	4	1010364-693	RESISTOR	23	
2	2	1010364-619	RESISTOR	22	
2	2	1010364-579	RESISTOR	21	
2	2	1010364-501	RESISTOR	20	
2	2	1010364-325	RESISTOR	19	
2	2	1010364-443	RESISTOR	18	
2	2	1010364-379	RESISTOR	17	
2	2	1006750-77	RESISTOR	16	
2	2	1006750-46	RESISTOR	15	
2	2	1006750-39	RESISTOR	14	
4	4	1006750-36	RESISTOR	13	
2	2	1006750-17	RESISTOR	12	
	AR	1006776-22	INSULATION SLEEVING	11	X
AR	AR	1006776-20	INSULATION SLEEVING	10	
	AR	1006757-8	WIRE, ELECTRICAL	9	X
AR	AR	1006757-1	WIRE, ELECTRICAL	8	
8	8	1008161-3	SCREW, CAP SLOTTED HD SPECIAL	7	
3	3	1015135-020	SPACER	6	
16	16	1006782-5	CONTACT, WRAPOST – MALE, MIN	5	
16	16	1006775	INSULATOR, WRAPOST – MALE, MIN	4	
1	1	1008508	WIRING BOARD, BOTTOM	3	
1	1	1008506	WIRING BOARD, TOP	2	
1	1	1008509	FRAME	1	
					
			PROOFED		
