-011	FIND	DRAWING	TITLE	STRIKE
X	REF	1009511	SCHEMATIC	
				
AR	59	1010848-2	WIRE, ELECTRICAL – NICKEL	
2	58	1006750-60	RESISTOR	
1	57	2008093	TERMINAL THREADED	
1	56	1008540-9	GASKET, CONNECTOR MINIATURE	
1	55	-7	GASKET, CONNECTOR MINIATURE	
1	54	1012054	TRANSFORMER	
1	53	1012053	TRANSFORMER	
4	52	1010329-1	TRANSFORMER	
9	51	1010397-1	TRANSISTOR	
2	50	1010367	TRANSISTOR	
2	49	1010342	TRANSISTOR	
2	48	1010830-9	DIODE	
2	47	-11	DIODE	
5	46	1010393-044	CAPACITOR	
2	45	-037	CAPACITOR	
2	44	1010359-29	CAPACITOR	
1	43	1010317-7	CAPACITOR	
1	42	-5	CAPACITOR	
1	41	1010316-1	CAPACITOR	
1	40	1006793-84	CAPACITOR	
3	39	1006755-77	CAPACITOR	
6	38	-69	CAPACITOR	
1	37	-61	CAPACITOR	
3	36	-57	CAPACITOR	
2	35	1010374-29	RESISTOR	
2	34	-1	RESISTOR	
2	33	1010369-148	RESISTOR	
2	32	-765	RESISTOR	
1	31	-732	RESISTOR	
2	30	1010409-15	CAPACITOR	
1	29	1010364-697	RESISTOR	
1	28	-683	RESISTOR	
2	27	-635	RESISTOR	
2	26	-579	RESISTOR	
2	25	-539	RESISTOR	
2	24	-535	RESISTOR	
2	23	-505	RESISTOR	
1	22	-477	RESISTOR	
4	21	-719	RESISTOR	
2	20	-387	RESISTOR	
2	19	1006750-39	RESISTOR	
2	18	1010364-251	RESISTOR	
2	17	-151	RESISTOR	
3	16	1006750-108	RESISTOR	
2	15	-51	RESISTOR	
2	14	-15	RESISTOR	
2	13	-8	RESISTOR	
AR	12	1006776-21	INSULATION SLEEVING	
AR	11	-20	INSULATION SLEEVING	
AR	10	1006757-1	WIRE .010 X .020	
AR	9	1006776-22	INSULATION SLEEVING	X
AR	8	1006757-8	WIRE .020 DIA	X
8	7	1008161-3	SCREW, CAP SLOTTED HD	
4	6	1015135-19	SPACER NYLON	
16	5	1006782-5	CONTACT, WRAPOST – MALE, MIN	
16	4	1006775	INSULATOR, WRAPOST – MALE, MIN	
1	3	1008513	WIRING BOARD BOTTOM	
1	2	1008511	WIRING BOARD TOP	
1	1	1008514	FRAME	
				
			PROOFED	
