-21	-11	DRAWING	TITLE	FIND	STRIKE
X	X	1009531	SCHEMATIC DIAGRAM ELECTRICAL	REF	
					
AR		SEE DRAWING NOTE 25	MOISTUREPROOFING	54	
2	2	1010966-1	TRANSISTOR	53	
4	4	1006750-70	RESISTOR FIXED MF 3.9K, 1/4W, ±2%	52	
4	4	1006750-48	RESISTOR FIXED MF 4.7K, 1/4W, ±2%	51	
	4	1010833-001	DIODE	50	X
1	1	1010497	DIODE	49	
1	1	1008540-3	GASKET, CONNECTOR MINIATURE	48	
1	1	1008540-7	GASKET, CONNECTOR MINIATURE	47	
1	1	1008540-4	GASKET, CONNECTOR MINIATURE	46	
2	2	1006750-82	RESISTOR, FIXED MF, 120K 1/4W ±2%	45	
1	1	1010715-2	TRANSISTOR	44	
	AR	1006776-22	INSULATION, SLEEVING	43	X
AR	AR	1006776-20	INSULATION, SLEEVING	42	
4	4	1008025-1	INSULATOR, BUSHING	41	
13	13	1006782-4	CONTACT, WRAPOST MALE MINAT	40	
13	13	1006775	INSULATOR, WRAPOST MALE MINAT	39	
2	2	1000093-3	SCREW, BUTTON HEAD	38	
1	1	MS35650-104	NUT, PLAIN, FLAT	37	
1	1	1008020-1	WASHER, FLAT	36	
2	2	1008024-1	WASHER, INSULATOR	35	
AR	AR	1010848-2	WIRE, ELECTRICAL .020 DIA	34	
AR	AR	1006757-1	WIRE, ELECTRICAL .010 X .020	33	
2	2	1008025-2	INSULATOR, BUSHING	32	
1	1	1008021-1	INSULATOR, BUSHING	31	
AR	AR	1006776-21	INSULATION, SLEEVING	30	
2	2	1006755-73	CAPACITOR FIXED TANT 2.2UF 35V ±10%	29	
4	4	1006777-7	CAPACITOR	28	
4	4	1006777-24	CAPACITOR	27	
3	3	1010394	DIODE	26	
2	2	1010384	DIODE	25	
	4	1010462-6	DIODE	24	X
9	9	1010385	DIODE	23	
4	4	1010388-39	INDUCTOR	22	
2	2	1010386	TRANSISTOR	21	
	2	1006752	TRANSISTOR	20	X
2	2	1010376-4	TRANSISTOR	19	
1	1	1010269-3	TRANSISTOR	18	
2	2	1010357-1	TRANSISTOR	17	
2	2	1006760-56	RESISTOR	16	
1	1	1006750-62	RESISTOR	15	
2	2	1010369-148	RESISTOR	14	
2	2	1006750-15	RESISTOR	13	
2	2	1006750-1	RESISTOR	12	
4	4	1006750-67	RESISTOR	11	
5	5	1006750-80	RESISTOR	10	
2	2	1010369-87	RESISTOR	9	
4	4	1010389-80	RESISTOR	8	
1	1	1010373-12	RESISTOR	7	
1	1	1010364-557	RESISTOR	6	
1	1	1010364-619	RESISTOR	5	
1	1	1010364-683	RESISTOR	4	
1	1	1008600	INSULATOR, TOP	3	
1	1	1008255	INSULATOR, BOTTOM	2	
1	1	1007008	HEATSINK	1	
					
			PROOFED		
