-21	-11	DRAWING	TITLE	FIND	STRIKE
AR		SEE DRAWING NOTE 19	MOISTUREPROOFING	54	
AR	AR	1010848-2	WIRE, ELECTRICAL – NICKEL	53	
1	1	1010831-002	ZENER DIODE	52	
2	2	1010831-001	ZENER DIODE	51	
1	1	1008540-15	GASKET, CONNECTOR MINIATURE	50	
2	2	1010376-2	TRANSISTOR	49	
X	X	1010032	SCHEMATIC	REF	
	AR	1006776-22	INSULATION SLEEVING	48	X
AR	AR	1006776-20	INSULATION SLEEVING	47	
	1	1010290-2	DIODE	46	X
15	15	1006775	INSULATOR, WRAPOST MALE MINAT	45	
	AR	1006757-8	WIRE ELEC .020 DIA	44	X
AR	AR	1006757-1	WIRE ELEC .010 X .020	43	
3	3	1008025-3	INSULATOR BUSHING	42	
1	1	1008025-1	INSULATOR BUSHING	41	
AR	AR	1006776-21	INSULATION SLEEVING	40	
4	4	1010292-2	TEST POINT	39	
15	15	1006782-4	CONTACT, WRAPOST MALE MINAT	38	
1	1	1010335	TRANSFORMER	37	
1	1	1010357-1	TRANSISTOR	36	
2	2	1010376-1	TRANSISTOR	35	
	2	1010290-1	DIODE	34	X
2	2	1010385	DIODE	33	
1	1	1006777-27	CAPACITOR	32	
2	2	1006755-69	CAPACITOR	31	
1	1	1006775-57	CAPACITOR	30	
1	1	1010264-13	CAPACITOR	29	
1	1	1006777-16	CAPACITOR	28	
2	2	1006755-83	CAPACITOR	27	
6	6	1006755-65	CAPACITOR	26	
1	1	1006760-27	RESISTOR	25	
1	1	1006750-40	RESISTOR	24	
2	2	1010369-96	RESISTOR	23	
1	1	1010312-16	RESISTOR	22	
1	1	1010312-14	RESISTOR	21	
1	1	1006750-32	RESISTOR	20	
1	1	1006750-73	RESISTOR	19	
2	2	1010377-51	RESISTOR	18	
1	1	1010377-108	RESISTOR	17	
1	1	1006750-49	RESISTOR	16	
1	1	1006750-60	RESISTOR	15	
2	2	1010369-92	RESISTOR	14	
2	2	1006750-50	RESISTOR	13	
4	4	1006750-8	RESISTOR	12	
2	2	1010369-90	RESISTOR	11	
4	4	1006750-66	RESISTOR	10	
2	2	1010377-109	RESISTOR	9	
1	1	1006750-70	RESISTOR	8	
1	1	1010377-107	RESISTOR	7	
2	2	1010369-97	RESISTOR	6	
2	2	1006750-67	RESISTOR	5	
5	5	1006750-56	RESISTOR	4	
1	1	1008029-2	INSULATOR, BOTTOM	3	
1	1	1008029-1	INSULATOR, TOP	2	
1	1	1008035	HEATSINK	1	
					
			PROOFED		
