-21	-11	DRAWING	TITLE	FIND	STRIKE
X	X	1009505	SCHEMATIC	REF	
AR		SEE DRAWING NOTE 24	MOISTUREPROOFING	26	
AR	AR	1010848-2	WIRE, ELECTRICAL – NICKEL	25	
1	1	1008540-14	GASKET CONNECTOR MINIATURE	24	
1	1	1008540-6	GASKET CONNECTOR MINIATURE	23	
2	2	1008540-2	GASKET CONNECTOR MINIATURE	22	
2	2	1010329-1	TRANSFORMER	21	
1	1	1010264-121	CAPACITOR	20	
1	1	1010264-120	CAPACITOR	19	
1	1	1010264-119	CAPACITOR	18	
1	1	1010264-22	CAPACITOR	17	
16	16	1010392-1	DIODE	16	
4	4	1010372-21	DIODE	15	
6	6	1006750-63	RESISTOR	14	
	AR	1006776-22	INSULATION SLEEVING	13	X
AR	AR	1006776-21	INSULATION SLEEVING	12	
AR	AR	1006776-20	INSULATION SLEEVING	11	
	AR	1006757-8	WIRE, ELECTRICAL	10	X
AR	AR	1006757-1	WIRE, ELECTRICAL	9	
2	2	1010485-98	SCREW, FILLISTER HEAD	8	
6	6	1008161-3	SCREW, CAP SLOTTED HD SPECIAL	7	
3	3	1015135-014	SPACER	6	
24	24	1006782-5	CONTACT WRAPOST – MALE MIN	5	
24	24	1006775	INSULATOR WRAPOST – MALE MIN	4	
1	1	1008655	WIRING BOARD, BOTTOM	3	
1	1	1008657	WIRING BOARD, TOP	2	
1	1	1007594	FRAME	1	
					
			PROOFED		
