-11	FIND	DRAWING	TITLE
X	REF	1015120	SCHEMATIC, ELECTRICAL
			
1	44	1008540-12	GASKET, CONNECTOR – MINIATURE
AR	43	1006776-22	INSULATION SLEEVING #24
2	42	1010364-693	RESISTOR, FIXED
2	41	AN500D-2-4	SCREW, FIL HD
AR	40	1006776-21	INSULATION SLEEVING #22
AR	39	1006787-2	WIRE, ELEC - .020 DIA.
AR	38	1006757-1	WIRE, ELEC - .010 X .020
AR	37	1006776-20	INSULATION SLEEVING #20
12	36	1006782-5	CONTACT, WRAPOST MALE MINAT
12	35	1006775	INSULATOR, WRAPOST MALE MINAT
2	34	AN500D-4-4	SCREW, FIL HD
1	33	1015135-015	SPACER
2	32	1006750-42	RESISTOR, FIXED
2	31	1006750-25	RESISTOR, FIXED
2	30	1006750-12	RESISTOR, FIXED
2	29	1010368-8	RESISTOR, FIXED
2	28	1006750-56	RESISTOR, FIXED
2	27	1006750-26	RESISTOR, FIXED
2	26	1010364-673	RESISTOR, FIXED
2	25	1010368-115	RESISTOR, FIXED
2	24	1006750-66	RESISTOR, FIXED
2	23	1006750-44	RESISTOR, FIXED
2	22	1006750-32	RESISTOR, FIXED
2	21	1010364-757	RESISTOR, FIXED
2	20	1006750-73	RESISTOR, FIXED
2	19	1006750-72	RESISTOR, FIXED
2	18	1006750-84	RESISTOR, FIXED
2	17	1010364-727	RESISTOR, FIXED
2	16	1006750-77	RESISTOR, FIXED
2	15	1010364-687	RESISTOR, FIXED
2	14	1010398-2	TRANSISTOR
2	13	1010357-1	TRANSISTOR
4	12	1010397-1	TRANSISTOR
2	11	1010372-24	SEMICONDUCTOR DEVICE – DIODE
2	10	1010375-56	CAPACITOR
2	9	1010359-18	CAPACITOR
2	8	1010409-33	CAPACITOR
2	7	1010359-21	CAPACITOR
2	6	1006755-45	CAPACITOR
2	5	1006755-31	CAPACITOR
4	4	1006755-79	CAPACITOR
1	3	1015719	WAFER – UPPER
1	2	1015718	WAFER – LOWER
1	1	1007588	FRAME
			
			PROOFED
