-21	-11	FIND	DRAWING	TITLE	STRIKE
X	X	REF	1009571	SCHEMATIC	
					
AR		41	SEE DRAWING NOTE 26	MOISTUREPROOFING	
AR	AR	40	1010848-2	WIRE, ELECTRICAL	
1	1	39	1008540-15	GASKET, CONNECTOR MINIATURE	
1	1	38	1008174	INSULATOR	
	1	37	1008173	INSULATOR	X
1	1	36	1008025-2	INSULATOR, BUSHING	
1	1	35	1008025-1	INSULATOR, BUSHING	
1	1	34	MS20341-10B	NUT, HEX	
1	1	33	1008071-2	WASHER, FLAT	
2	2	32	1008024-1	WASHER, INSULATOR	
1	1	31	1008021-1	BUSHING, INSULATOR	
AR	AR	30	MIL-I-15126 TYPE MFT 2.5 ½ WIDE	INSUL TAPE	
AR	AR	29	1006776-22	INSULATION, SLEEVING	
AR	AR	28	1006757-1	WIRE, ELECTRICAL	
	AR	27	1006787-2	WIRE, ELECTRICAL	X
15	15	26	1006775	INSULATOR, WRAPOST – MALE, MINAT	
15	15	25	1006782-5	CONTACT, WRAPOST – MALE, MINAT	
2	2	24	1000170-6	FUSE	
1	1	23	1000170-4	FUSE	
	1	22	1000170-2	FUSE	X
1	1	21	1010751	TRANSFORMER	
1	1	20	1010398-1	TRANSISTOR	
1	1	19	1010269-1	TRANSISTOR	
1	1	18	1010633-1	TRANSISTOR	
1	1	17	1010829-25	DIODE	
1	1	16	1010259	DIODE	
1	1	15	1010372-24	DIODE	
6	6	14	1010362-001	DIODE	
3	3	13	1006789-002	CAPACITOR	
1	1	12	1006750-49	RESISTOR	
2	2	11	1006750-56	RESISTOR	
2	2	10	1006750-43	RESISTOR	
1	1	9	1010369-141	RESISTOR	
1	1	8	1010389-50	RESISTOR	
1	1	7	1010364-225	RESISTOR	
1	1	6	1010364 SEE DRAWING NOTE 11	RESISTOR	
1	1	5	1010267 SEE DRAWING NOTE 10	RESISTOR	
1	1	4	1010364-353	RESISTOR	
2	2	3	1010389-39	RESISTOR	
1	1	2	1010452-129	RESISTOR	
1	1	1	1008180	HEATSINK	
					
				PROOFED	
