-21	-11	DRAWING	TITLE	FIND	STRIKE
AR		SEE DRAWING NOTE 26	MOUSTUREPROOFING	60	
AR	AR	1010848-2	WIRE, ELECTRICAL – NICKEL	59	
2	2	1006750-84	RESISTOR, FIXED, MF	58	
2	2	1006750-80	RESISTOR, FIXED, MF	57	
2	2	1006750-41	RESISTOR, FIXED, MF	56	
	1	1010830-20	DIODE, ZENER	55	X
	2	1010833-1	DIODE, ZENER	54	X
1	1	1008540-1	GASKET, CONNECTOR MINIATURE	53	
1	1	1008540-13	GASKET, CONNECTOR MINIATURE	52	
1	1	1008540-2	GASKET, CONNECTOR MINIATURE	51	
2	2	1006777-1	CAPACITOR	50	
X	X	1009523	SCHEMATIC	REF	
2	2	1006777-16	CAPACITOR	49	
1	1	1006750-40	RESISTOR, FIXED, MF	48	
1	1	1010372-6	DIODE, ZENER	47	
1	1	1010376-3	TRANSISTOR	46	
2	2	1008256	POLARIZING PIN	45	
	AR	1006776-22	INSULATION SLEEVING	44	
AR	AR	1006776-21	INSULATION SLEEVING	43	
16	16	1006782-4	CONTACT, WRAPOST MALE MINAT	42	
16	16	1006775	INSULATOR, WRAPOST MALE MINAT	41	
2	2	1000093-3	SCREW, BOTTOM HEAD	40	
1	1	MS35650-104	NUT, PLAIN, HEX	39	
1	1	1008020-1	WASHER, FLAT	38	
2	2	1008024-1	WASHER, INSULATOR	37	
	AR	1006757-8	WIRE, ELEC, .020 DIA	36	X
AR	AR	1006757-1	WIRE, ELEC, .010 X .020	35	
2	2	1008025-1	INSULATOR BUSHING	34	
1	1	1008021-1	INSULATOR, BUSHING	33	
AR	AR	1006776-20	INSULATION SLEEVING	32	
1	1	1010715-2	TRANSISTOR	31	
1	1	1010376-4	TRANSISTOR	30	
1	1	1010269-1	TRANSISTOR	29	
2	2	1010357-1	TRANSISTOR	28	
2	2	1010388-39	INDUCTOR	27	
2	2	1010394	DIODE	26	
	1	1010286-20	DIODE	25	X
	2	1010462-6	DIODE, ZENER	24	X
5	5	1010385	DIODE	23	
2	2	1006777-24	CAP., FIXED CER	22	
2	2	1006777-33	CAP., FIXED CER	21	
1	1	1010393-039	CAP., FIXED TANT	20	
1	1	1006755-73	CAP., FIXED TANT	19	
2	2	1006777-7	CAP., FIXED CER	18	
1	1	1006750-15	RESISTOR, FIXED, MF	17	
2	2	1006750-56	RESISTOR, FIXED, MF	16	
1	1	1010389-88	RESISTOR, FIXED, MF	15	
	2	1010369-85	RESISTOR, FIXED, MF	14	X
	1	1006750-78	RESISTOR, FIXED, MF	13	X
4	4	1006750-53	RESISTOR, FIXED, MF	12	
1	1	1006750-1	RESISTOR, FIXED, MF	11	
4	4	1006750-67	RESISTOR, FIXED, MF	10	
2	2	1006750-81	RESISTOR, FIXED, MF	9	
2	2	1010389-78	RESISTOR, FIXED WW	8	
2	2	1006750-60	RESISTOR, FIXED, MF	7	
1	1	1010373-12	RESISTOR, VAR	6	
1	1	1010497	DIODE	5	
1	1	1010364-697	RESISTOR, FIXED, MF	4	
1	1	1008581	INSULATOR, TOP	3	
1	1	1008580	INSULATOR, BOTTOM	2	
1	1	1007035	HEATSINK	1	
					
			PROOFED		
