-11	DRAWING	TITLE	FIND	STRIKE
X	1009504	SCHEMATIC	REF	
AR	1010848-2	WIRE, ELECTRICAL – NICKEL	18	
4	1008540-8	GASKET, CONNECTOR MINIATURE	17	
1	1010605	TRANSFORMER	16	
3	1010353-4	RELAY	15	
2	1010392-1	DIODE	14	
3	1010362-003	DIODE	13	
AR	1006776-20	INSULATION SLEEVING, ELECT	12	
AR	1006776-22	INSULATION SLEEVING, ELECT	11	X
AR	1006776-21	INSULATION SLEEVING, ELECT	10	
AR	1006757-8	WIRE, ELEC (.020 DIA)	9	X
AR	1006757-1	WIRE, ELEC (.010 X .020)	8	
8	1008161-2	SCREW, SPECIAL	7	
3	1015135-015	SPACER	6	
32	1006782-5	CONTACT, WRAPOST – MALE	5	
32	1006775	INSULATOR, WRAPOST – MALE	4	
1	1008518	WAFER BOARD, BOTTOM	3	
1	1008516	WAFER BOARD, TOP	2	
1	1007505	FRAME	1	
				
		PROOFED		
