-11	DRAWING	TITLE	FIND	STRIKE
X	1009570	WIRING DIAGRAM	REF	
1	1008637	WIRE LIST AA	26	
1	1008635	WIRING HARNESS B	25	
1	1008634	WIRING HARNESS A	24	
1	1008553	GASKET CONNECTOR	23	
1	1008552	GASKET CONNECTOR	22	
1	1007582	BUFFER RESISTORS MODULE ASSY	21	
3	MS16995-10	SCREW, CAP, SOCKET HD	20	
1	1001317	RETAINER, JACK SCREW	19	
1	1008098	SCREW, SOCKET HD	18	
1	1008099-2	WASHER	17	
2	MS21045C04	NUT, SELF-LOCKING HEX	16	
2	1010620-5	PIN, GUIDE	15	
23	1008172	SCREW, JACK	14	X
23	1004207	DRIVE CYLINDER	13	X
23	MS171433	PIN SPRING	12	X
46	1004206	WASHER, THRUST	11	X
2	MS16995-11	SCREW CAP SOCKT HD	10	
1	1010821-1	CONNECTOR RECEPTACLE	9	
16	MS16556-604	PIN GUIDE	8	
45	1006775	INSULATOR, WRAPOST, MALE MINAT	7	
45	1006782-2	CONTACT, WRAPOST, MALE MINAT	6	
60	1010383-1	INSULATOR, WRAPOST, MALE	5	
60	1010382-1	CONTACT, BLADE EDGE CONN	4	
154	1006781-2	CONTACT, WRAPOST, FEMALE MINAT	3	
154	1006774	INSULATOR, WRAPOST, FEMALE MINAT	2	
1	1008530	FRAME	1	
				
		PROOFED		
