-31	-21	-11	DRAWING	TITLE	FIND	STRIKE	NOTE
AR			SEE NOTE 18	MOISTURE-PROOFING	39		
1			1008335	GASKET, WASP	38		
1			1008338	GASKET, CONNECTOR TRAY	37		
1			1008337	GASKET, CONNECTOR TRAY	36		
							
1			1008333	RETAINER, JACK SCREW	35		
1		1	1008521	FRAME	34		
1		1	1008620	WIRING LIST AA	33		
1		1	1008619	WIRING HARNESS D	32		
1		1	1008618	WIRING HARNESS C	31		
1		1	1008617	WIRING HARNESS B	30		
1		1	1008616	WIRING HARNESS A	29		
1		1	1007586-011	BUFFER RESISTOR ASSY	28		
X		X	1009561	WIRING DIAGRAM	REF		
	X		1009551	WIRING DIAGRAM	REF		
1		1	1010821-1	CONNECTOR, RECEPTACLE	27		
	1	1	1008551	GASKET, CONNECTOR TRAY	26		
	1	1	1008552	GASKET, CONNECTOR TRAY	25		
	1		1015741	WIRE LIST AA	24		
	1		1015740	WIRING HARNESS D	23		
	1		1015739	WIRING HARNESS C	22		
	1		1015738	WIRING HARNESS B	21		
	1		1015737	WIRING HARNESS A	20		
	1		1007088	BUFFER RESISTOR ASSY	19		
2	2	2	MS21045C04	NUT SELF-LOCKING HEX	18		The original drawing says MA21045C04.
2	2	2	MS16995-11	SCREW, CAP, SOCKET, HEAD	17		
3	3	3	MS16995-10	SCREW, CAP, SOCKET, HEAD	16		
	30		MS171433	PIN, SPRING	15	X	
	30		1004207	DRIVE CYLINDER	14	X	
1	1	1	1008099-2	WASHER	13		
	60		1004208	WASHER, THRUST	12	X	
1	1	1	1008098	SCREW, SOCKET HEAD	11		
	30		1008172	SCREW, JACK	10	X	
	1	1	1001317	RETAINER, JACK SCREW	9		
2	2	2	1010620-5	PIN, GUIDE	8		
20	20	20	MS16556-604	PIN, GUIDE	7		
	1		1010622-1	CONNECTOR, RECEPTACLE	6		
84	84	84	1010383-1	INSULATOR, WRAPOST, MALE	5		
84	84	84	1010382-1	CONTACT BLADE EDGE CONNECTOR	4		
149	149	149	1006781-2	CONTACT, WRAPOST, FEMALE, MIN	3		
149	149	149	1006774	INSULATOR, WRAPOST, FEMALE, MIN	2		
	1		1008101	FRAME	1		
							
X	X	X	X	PROOFED	REF	X	
