-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
						36	
AR	AR			SEE DRAWING NOTE 21	MOISTURE-PROOFING	35	
1	1			1008335	GASKET, WASP	34	
1	1			1008338	GASKET, CONNECTOR TRAY	33	
1	1			1008337	GASKET, CONNECTOR TRAY	32	
1	1			1008333	RETAINER, JACK SCREW	31	
	1		1	1008522	FRAME	30	
	1		1	1008628	WIRE LIST AA	29	
	1		1	1008627	WIRING HARNESS A	28	
AR	AR	AR	AR	MIL-I-1516 TYPE MFT 2.5	MYLAR TAPE	27	
1	1	1	1	1006712-3	RESISTOR, TEMPERATURE SENSITIVE	26	
	1		1	1007587-011	BUFFER RESISTOR ASSY	25	
	X		X	1009562	WIRING DIAGRAM	REF	
	1		1	1010821-1	CONNECTOR, RECEPTACLE	24	
		1	1	1008551	GASKET, CONNECTOR TRAY	23	
		1	1	1008552	GASKET, CONNECTOR TRAY	22	
X		X		1009552	WIRING DIAGRAM	REF	
1		1		1008269	WIRE LIST AA	21	
1		1		1015772	WIRING HARNESS A	20	
1		1		1007091	BUFFER RESISTOR ASSY	19	
2	2	2	2	1010620-5	PIN GUIDE	18	
3	3	3	3	MS16995-10	SCREW, CAP, SOCKET HEAD	17	
1	1	1	1	1008099-2	WASHER	16	
1	1	1	1	1008098	SCREW, SOCKET HEAD	15	
		1	1	1001317	RETAINER, JACK SCREW	14	
		52	52	1004206	WASHER, THRUST	13	X
		26	26	MS171433	PIN, SPRING	12	X
		26	26	1004207	DRIVE CYLINDER	11	X
		26	26	1008172	SCREW, JACK	10	X
2	2	2	2	MS21045CO4	NUT, SELF-LOCKING HEX	9	
2	2	2	2	MS16995-11	SCREW, CAP, SOCKET HEAD	8	
1		1		1010622-1	CONNECTOR, RECEPTACLE	7	
16	16	16	16	MS16556-604	PIN, GUIDE	6	
84	84	84	84	1010383-1	INSULATOR, WRAPOST MALE	5	
84	84	84	84	1010382-1	CONTACT, BLADE EDGE CONNECTOR	4	
129	129	129	129	1006781-2	CONTACT, WRAPOST, FEMALE MIN	3	
129	129	129	129	1006774	INSULATOR, WRAPOST, FEMALE, MIN	2	
1		1		1008102	FRAME	1	
							
					PROOFED		
