-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
AR			SEE DRAWING NOTE 20	MOISTUREPROOFING	34	
1			1008335	GASKET WASP	33	
1			1008338	GASKET CONNECTOR TRAY	32	
1			1008337	GASKET CONNECTOR TRAY	31	
1			1008333	RETAINER JACK SCREW	30	
1		1	1008652	FRAME	29	
1		1	1008621	WIRE LIST AA	28	
1		1	1008626	WIRING HARNESS A	27	
AR	AR	AR	MIL-I-15126 TYPE MFT 2.5	MYLAR TAPE	26	
1	1	1	1006712-3	RESISTOR, TEMPERATURE SENSITIVE	25	
1		1	1010821-1	CONNECTOR RECEPTACLE	24	
X		X	1009564	WIRING DIAGRAM	REF	
	1	1	1008552	GASKET CONNECTOR TRAY	23	
	1	1	1008551	GASKET CONNECTOR TRAY	22	
2	2	2	1008256	PIN POLARIZING	21	
	X		1009554	WIRING DIAGRAM	REF	
	1		1015742	WIRE LIST AA	20	
	1		1008271	WIRING HARNESS A	19	
2	2	2	MA21045CO4	NUT, SELF-LOCKING HEX	18	
2	2	2	MS16995-11	SCREW, CAP, SOCKET HEAD	17	
3	3	3	MS16995-10	SCREW, CAP, SOCKET HEAD	16	
	36		MS171433	PIN, SPRING	15	X
	36		1004207	DRIVE CYLINDER	14	X
1	1	1	1008099-2	WASHER	13	
	72		1004206	WASHER, THRUST	12	X
1	1	1	1008098	SCREW, SOCKET HEAD	11	
	36		1008172	SCREW, JACK	10	X
	1	1	1001317	RETAINER, JACK SCREW	9	
2	2	2	1010620-5	PIN, GUIDE	8	
24	24	24	MS16556-604	PIN, GUIDE	7	
	1		1010622-1	CONNECTOR, RECEPTACLE	6	
84	84	84	1010383-1	INSULATOR, WRAPOST, MALE	5	
84	84	84	1010382-1	CONTACT, BLADE EDGE CONNECTOR	4	
184	180	180	1006781-2	CONTACT, WRAPOST, FEMALE MIN	3	
184	180	180	1006774	INSULATOR, WRAPOST, FEMALE MIN	2	
	1		1008524	FRAME	1	
						
				PROOFED		
