-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
AR			SEE DRAWING NOTE 17	MOISTURE PROOFING	39	
1			1008333	RETAINER, JACK SCREW	38	
1			1008336	GASKET, MINI-WASP	37	
1			1008339	GASKET, CONNECTOR TRAY	36	
1			1008338	GASKET, CONNECTOR TRAY	35	
1		1	1008625	WIRE LIST AA	34	
1		1	1008624	WIRING HARNESS C	33	
1		1	1008623	WIRING HARNESS B	32	
1		1	1008622	WIRING HARNESS A	31	
1		1	1008590	FRAME	30	
	1		1010622-1	CONNECTOR, RECEPTACLE	29	
	X		1009555	WIRING DIAGRAM	REF	
	1	1	1008553	GASKET CONNECTOR MIN TRAY	28	
X		X	1009565	WIRING DIAGRAM	REF	
	1	1	1008552	GASKET CONNECTOR TRAY	27	
	1		1015753	WIRE LIST AA	26	
	1		1015752	WIRING HARNESS D	25	
	1		1015751	WIRING HARNESS C	24	
	1		1015750	WIRING HARNESS B	23	
	1		1015749	WIRING HARNESS A	22	
45	45	45	1006782-2	CONTACT, WRAPOST MALE MIN	21	
45	45	45	1006775	INSULATOR, MALE WRAPOST MIN	20	
1	1	1	1007099	BUFFER RESISTORS ASSEMBLY	19	
2	2	2	MA21045CO4	NUT, SELF-LOCKING, HEX	18	
2	2	2	MS16995-11	SCREW, CAP, SOCKET HEAD	17	
3	3	3	MS16995-10	SCREW, CAP, SOCKET HEAD	16	
1		1	1010821-1	CONNECTOR, RECEPTACLE	15	
2	2	2	1010620-5	PIN, GUIDE	14	
16	18	16	MS16556-604	PIN, GUIDE	13	
60	60	60	1010382-1	CONTACT, BLADE EDGE CONNECTOR	12	
60	60	60	1010383-1	INSULATOR, WRAPOST, MALE	11	
158	188	158	1006781-2	CONTACT, WRAPOST, FEMALE, MIN	10	
158	188	158	1006774	INSULATOR, WRAPOST, FEMALE, MIN	9	
	24		MS171433	PIN, SPRING	8	X
	48		1004206	WASHER, THRUST	7	X
	24		1004207	DRIVE CYLINDER	6	X
	24		1008172	SCREW, JACK	5	X
1	1	1	1008099-2	WASHER, THRUST	4	
1	1	1	1008098	SCREW, SOCKET HEAD	3	
	1	1	1001317	RETAINER, JACK SCREW	2	
	1		1008525	FRAME	1	
						
				PROOFED		
