-31	-21	-11	DRAWING	TITLE	FIND	STRIKE	NOTE
X			1008346	WIRING DIAGRAM	REF		
1			1008343	WIRING HARNESS A	44		
AR			SEE DRAWING NOTE 18	MOISTURE PROOFING	43		
1			1008333	RETAINER, JACK SCREW	42		
1			1008336	GASKET MINI WASP	41		
1			1008339	GASKET CONNECTOR TRAY	40		
1			1008338	GASKET CONNECTOR TRAY	39		
1		1	1008653	FRAME	38		
1		1	1008633	WIRE LIST AA	37		
1		1	1008632	WIRING HARNESS D	36		
1		1	1008631	WIRING HARNESS C	35		
1		1	1008630	WIRING HARNESS B	34		
		1	1008629	WIRING HARNESS A	33		
1		1	1007597-011	BUFFER RESISTOR MODULE ASSY	32		
1		1	1010821-2	CONNECTOR, RECEPTACLE	31		
	1	1	1008553	GASKET CONNECTOR MIN. TRAY	30		
	1	1	1008552	GASKET CONNECTOR TRAY	29		
		X	1009567	WIRING DIAGRAM	REF		
	X		1006557	WIRING DIAGRAM	REF		
	1		1015758	WIRE LIST AA	28		
	1		1015757	WIRING HARNESS D	27		
	1		1015756	WIRING HARNESS C	26		
	1		1015755	WIRING HARNESS B	25		
	1		1015754	WIRING HARNESS A	24		
	1		1007092	BUFFER RESISTOR MODULE ASSY	23		
	19	19	MS171433	PIN, SPRING	22	X	
4	4	4	MS21045-C-04	NUT, SELF-LOCKING HEX	21		
4	4	4	MS16995-11	SCREW, CAP, SOCKET HEAD	20		
3	3	3	MS16995-10	SCREW, CAP, SOCKET HEAD	19		
	19	19	1008172	SCREW, JACK	18	X	
	19	19	1004207	DRIVE CYLINDER	17	X	
1	1	1	1008099-2	WASHER	16		
	38	38	1004206	WASHER THRUST	15	X	
1		1	1010821-1	CONNECTOR, RECEPTACLE	14		
1	1	1	1008098	SCREW, SOCKET HEAD	13		
	1	1	1001317	RETAINER, JACK SCREW	12		
2	2	2	1010620-5	PIN, GUIDE	11		
14	12	14	MS16556-604	PIN, GUIDE	10		This p/n is partially illegible on the original drawing, but there are strong reasons to believe that the part number shown here is correct.
	1		1010622-2	CONNECTOR, RECEPTACLE	9		
	1		1010622-1	CONNECTOR, RECEPTACLE	8		
45	45	45	1006775	INSULATOR, WRAPOST, MALE MIN	7		
45	45	45	1006782-2	CONTACT, WRAPOST, MALE MIN	6		
60	60	60	1010383-1	INSULATOR, WRAPOST, MALE	5		
60	60	60	1010382-1	CONTACT, BLADE EDGE CONNECTOR	4		
146	143	146	1006781-2	CONTACT, WRAPOST, FEMALE MIN	3		
146	143	146	1006774	INSULATOR, WRAPOST, FEMALE MIN	2		
	1		1008527	FRAME	1		
							
				PROOFED			
