-41	-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
X			X	REF	1010023	SCHEMATIC	
	X	X		REF	1009524	SCHEMATIC	
							
AR	AR			42	SEE NOTE 22	MOISTUREPROOFING	
AR	AR	AR	AR	41	1010848-2	WIRE – ELECTRICAL NICKEL	
1	1	1	1	40	1008540-12	GASKET, CONNECTOR MINIATURE	
AR	AR	AR	AR	39	MIL-I-631	INSULATION, SLEEVING, 22GA	
AR	AR	AR	AR	38	1006776-20	INSULATION, SLEEVING	
		AR	AR	37	1006757-8	WIRE, ELEC.	X
AR	AR	AR	AR	36	1006776-21	INSULATION, SLEEVING	
AR	AR	AR	AR	35	1006757-1	WIRE, ELEC.	
2	2	2	2	34	1008070-5	WASHER – FLAT	
2	2	2	2	33	MS20341-4A	NUT – HEX	
12	12	12	12	32	1006782-5	CONTACT, WRAPOST MALE MINAT.	
12	12	12	12	31	1006775	INSULATOR, WRAPOST MALE MINAT.	
3	3	3	3	30	1008025-2	INSULATOR, BUSHING	
		AR	AR	29	1006776-22	INSULATION, SLEEVING	X
2	2	2	2	28	1010270	TRANSISTOR	
1	1	1	1	27	1010252-1	TRANSISTOR	
1	1	1	1	26	1010326	TRANSFORMER	
2	2	2	2	25	1010329-1	TRANSFORMER	
2	2	2	2	24	1010278-71	RESISTOR, FIXED	
1	1	1	1	23	1010345-1	TRANSISTOR	
2	2	2	2	22	MS35338-78	WASHER, LOCK	
1	1	1	1	21	1010364-543	RESISTOR, FIXED	
1	1	1	1	20	1006750-56	RESISTOR	
1	1	1	1	19	1010364-765	RESISTOR, FIXED	
1	1	1	1	18	1010569-105	RESISTOR, FIXED	
1	1	1	1	17	1010364-579	RESISTOR, FIXED	
4	4	4	4	16	1010364-443	RESISTOR, FIXED	
1	1	1	1	15	1006750-43	RESISTOR	
1	1	1	1	14	1006750-48	RESISTOR	
2	2	2	2	13	1010369-97	RESISTOR, FIXED	
3	4	4	3	12	1006750-73	RESISTOR	
2	1	1	2	11	1006750-80	RESISTOR	
1	1	1	1	10	1010353-1	RELAY, ELECTROMAGNETIC	
1	1	1	1	9	1010372-22	DIODE, SEMICONDUCTOR DEVICE	
4	4	4	4	8	1010392-1	DIODE, SEMICONDUCTOR DEVICE	
1	1	1	1	7	1010279-232	CAPACITOR, FIXED	
1	1	1	1	6	1010279-228	CAPACITOR, FIXED	
1	1	1	1	5	1010264-15	CAPACITOR, FIXED	
1	1	1	1	4	1015692	INSULATOR, BUSHING	
1	1	1	1	3	1015690	INSULATOR, BUSHING	
1	1	1	1	2	1015691	INSULATOR, BUSHING	
1	1	1	1	1	1015689	HEATSINK	
