-21	-11	FIND	DRAWING	TITLE	STRIKE
AR		61	SEE DRAWING NOTE 21	MOISTUREPROOFING	
AR	AR	60	1010848-2	WIRE, ELECTRICAL – NICKEL	
1	1	59	1010966-1	TRANSISTOR	
1	1	58	1008309	HEATSINK	
2	2	57	1010777-1	SEMICONDUCTOR DEVICE, DIODE	
2	2	56	1008071-4	WASHER, FLAT	
2	2	55	2008013-9	TERMINAL LUG, SOLDER, FLAT	
2	2	54	1008024-2	WASHER, INSULATOR	
2	2	53	1008021-1	BUSHING, INSULATOR	
2	2	52	1008024-1	WASHER, INSULATOR	
X	X	REF	1010025	SCHEMATIC	
2	2	51	1008540-2	GASKET, CONNECTOR MINIATURE	
1	1	50	1008540-3	GASKET, CONNECTOR MINIATURE	
AR	AR	49	1006776-20	INSULATION SLEEVING, ELECTRICAL	
	2	48	MS35338-81	WASHER, LOCK	X
	2	47	1008070-9	WASHER, FLAT	X
1	1	46	MS35338-78	WASHER, LOCK	
1	1	45	1008070-5	WASHER, FLAT	
1	1	44	MS35324-22	SCREW, PAN HEAD	
AR	AR	43	1006776-22	INSULATION, SLEEVING	
AR	AR	42	1006776-21	INSULATION SLEEVING	
AR	AR	41	1006757-21	WIRE .032 DIA	
	AR	40	1006757-8	WIRE .020 DIA	X
AR	AR	39	1006757-1	RIBBON .010 X .020	
1	1	38	1010339	TRANSFORMER	
1	1	37	1010323	TRANSFORMER	
2	2	36	1010398-2	TRANSISTOR	
1	1	35	1010376-4	TRANSISTOR	
1	1	34	1010273-2	TRANSISTOR	
	1	33	1006752	TRANSISTOR	X
6	6	32	1010385	SEMICONDUCTOR DEVICE, DIODE	
	2	31	1010322-001	SEMICONDUCTOR DEVICE, DIODE	X
1	1	30	1010372-22	SEMICONDUCTOR DEVICE, DIODE	
2	2	29	1010410-13	CAPACITOR, FIXED	
5	5	28	1010438-1	CAPACITOR, FIXED	
1	1	27	1006789-002	CAPACITOR, FIXED	
2	2	26	1006771-30	CAPACITOR, FIXED	
2	2	25	1010316-40	CAPACITOR, FIXED	
2	2	24	1010369-141	RESISTOR, FIXED	
2	2	23	1010364-381	RESISTOR, FIXED	
2	2	22	1010363-557	RESISTOR, FIXED	
2	2	21	1006750-74	RESISTOR, FIXED	
1	1	20	1006750-66	RESISTOR, FIXED	
3	3	19	1006750-56	RESISTOR, FIXED	
1	1	18	1006750-49	RESISTOR, FIXED	
2	2	17	1006750-19	RESISTOR, FIXED	
2	2	16	1008025-2	INSULATOR, BUSHING	
1	1	15	1008025-1	INSULATOR, BUSHING	
2	2	14	1008021-2	BUSHING, INSULATOR	
2	2	13	1008071-5	WASHER, FLAT	
2	2	12	1008024-4	WASHER, INSULATOR	
2	2	11	1008024-3	WASHER, INSULATOR	
2	2	10	MS20341-416B	NUT	
2	2	9	MS20341-10B	NUT	
1	1	8	MS35650-44	NUT	
10	10	7	1006775	INSULATOR, BUSHING	
10	10	6	1006782-5	CONTACT, WRAPOST – MALE	
	1	5	1015697	INSULATOR	X
	1	4	1015696	INSULATOR	X
	1	3	1015695	INSULATOR	X
	1	2	1015694	INSULATOR	X
	1	1	1015693	HEATSINK	X
					
				PROOFED	
