-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
		X	REF	1010049	SCHEMATIC	
X	X		REF	1009544	SCHEMATIC	
						
AR			36	SEE DRAWING NOTE 24	MOISTUREPROOFING	
AR	AR	AR	35	1010848-2	WIRE, ELECTRICAL – NICKEL	
1	1	1	34	1010338-001	TRANSFORMER	
2	2		33	1010264-8	CAPACITOR, FIXED	
1	1	1	32	1008540-4	GASKET, CONNECTOR – MINIATURE	
1	1	1	31	1008540-3	GASKET, CONNECTOR – MINIATURE	
AR	AR	AR	30	1006776-20	INSULATION SLEEVING	
AR	AR	AR	29	1006757-1	WIRE ELEC. - .010 X .020	
AR	AR	AR	28	1006776-21	INSULATION SLEEVING	
	AR	AR	27	1006757-8	WIRE, ELEC. - .020 DIA.	X
	AR	AR	26	1006776-22	INSULATION SLEEVING	X
2	2	2	25	1008070-75	WASHER, FLAT	
7	7	7	24	1006782-5	CONTACT, WRAPOST MALE MIN.	
7	7	7	23	1006775	INSULATOR, WRAPOST MALE MIN.	
2	2	2	22	1000093-13	SCREW, BUTTON HEAD	
2	2	2	21	1008025-2	INSULATOR, BUSHING	
2	2	2	20	MS20341-10B	HEX. NUT	
2	2	2	19	1008071-4	WASHER, FLAT	
2	2	2	18	1008024-1	WASHER, INSULATOR	
2	2	2	17	1008024-2	WASHER, INSULATOR	
2	2	2	16	1008021-1	BUSHING, INSULATOR	
	1	1	15	1010338	TRANSFORMER	X
1	1	1	14	1010329-1	TRANSFORMER, AUDIO	
1	1	1	13	1010269-2	TRANSISTOR (MATCHED PAIR)	
1	1	1	12	1010398-4	TRANSISTOR (MATCHED PAIR)	
2	2	2	11	1006750-1	RESISTOR, FIXED	
1	1	1	10	1010312-029	RESISTOR, FIXED	
1	1	1	9	1006750-51	RESISTOR, FIXED	
2	2	2	8	1010385	DIODE, SEMI-CONDUCTOR DEVICE	
1	1	1	7	1006789-002	CAPACITOR	
		2	6	1010264-1	CAPACITOR, FIXED	
1	1	1	5	1006755-65	CAPACITOR, FIXED	
	1	1	4	1015707	INSULATOR	X
	1	1	3	1015706	INSULATOR	X
			2			
1	1	1	1	1015708	HEATSINK	
						
					PROOFED	
