-11	FIND	DRAWING	TITLE	STRIKE
X	REF	1010044	SCHEMATIC, ELECTRICAL	
				
AR	55	1010848-2	WIRE, ELECTRICAL – NICKEL	
1	54	1008540-4	GASKET, CONNECTOR MINIATURE	
1	53	1008540-5	GASKET, CONNECTOR MINIATURE	
AR	52	1006776-20	INSULATION SLEEVING, ELEC.	
AR	51	1006776-21	INSULATION SLEEVING, ELEC.	
AR	50	1006757-8	WIRE, ELECT .020 DIA	X
AR	49	1006776-22	INSULATION SLEEVING, ELEC.	X
AR	48	1006757-1	WIRE ELECT .010 X .020	
9	47	1006782-5	CONTACT, WRAPOST MALE MIN	
9	46	1006775	INSULATOR, WRAPOST MALE MIN	
1	45	1010375-19	CAPACITOR, FIXED	
1	44	1010375-15	CAPACITOR, FIXED	
1	43	1010264-35	CAPACITOR, FIXED	
2	42	1010264-7	CAPACITOR, FIXED	
1	41	1010277-004	REACTOR	
1	40	1010427	REACTOR	
1	39	1010431	TRANSISTOR	
6	38	1010397-1	TRANSISTOR	
1	37	1010346-1	SEMICONDUCTOR DEVICE DIODE	
1	36	1010372-22	SEMICONDUCTOR DEVICE DIODE	
13	35	1010385	SEMICONDUCTOR DEVICE DIODE	
1	34	1010363-373	RESISTOR, FIXED	
1	33	1010389-49	RESISTOR, FIXED	
1	32	1010369-140	RESISTOR, FIXED	
1	31	1010369-95	RESISTOR, FIXED	
1	30	1010369-94	RESISTOR, FIXED	
1	29	1010369-88	RESISTOR, FIXED	
1	28	1006750-80	RESISTOR, FIXED	
2	27	1006750-76	RESISTOR, FIXED	
2	26	1006750-73	RESISTOR, FIXED	
1	25	1006750-72	RESISTOR, FIXED	
1	24	1006750-60	RESISTOR, FIXED	
3	23	1006750-56	RESISTOR, FIXED	
2	22	1006750-52	RESISTOR, FIXED	
2	21	1006750-48	RESISTOR, FIXED	
1	20	1006750-43	RESISTOR, FIXED	
1	19	1006750-42	RESISTOR, FIXED	
2	18	1006750-40	RESISTOR, FIXED	
1	17	1006750-39	RESISTOR, FIXED	
1	16	1006750-32	RESISTOR, FIXED	
2	15	1010364-693	RESISTOR, FIXED	
1	14	1010364-465	RESISTOR, FIXED	
2	13	1010364-351	RESISTOR, FIXED	
1	12	1010364-387	RESISTOR, FIXED	
1	11	1010364 SEE DRAWING NOTE 1	RESISTOR, FIXED	
2	10	1010264 SEE DRAWING NOTE 1	CAPACITOR, FIXED	
1	9	1010264 SEE DRAWING NOTE 1	CAPACITOR, FIXED	
6	8	1008025-1	INSULATOR, BUSHING	
1	7	1006755-85	CAPACITOR, FIXED	
1	6	1006755-81	CAPACITOR, FIXED	
1	5	1006755-69	CAPACITOR, FIXED	
1	4	1006755-61	CAPACITOR, FIXED	
1	3	1015716	INSULATOR	
1	2	1015715	INSULATOR	
1	1	1015714	HEATSINK	
				
			PROOFED	
