-21	-11	FIND	DRAWING	TITLE	STRIKE
AR		47	SEE DRAWING NOTE 29	MOISTUREPROOFING	
X	X	REF	1009525	SCHEMATIC DIAGRAM ELECTRICAL	
AR	AR	46	1010848-2	WIRE, ELECTRICAL – NICKEL	
1	1	45	1010829-2	DIODE	
1	1	44	1006750 SEE DRAWING NOTE 17	RESISTOR, FIXED	
1	1	43	1008540-3	GASKET, CONNECTOR, MINAT.	
1	1	42	1008540-6	GASKET, CONNECTOR, MINAT.	
	AR	41	1006757-8	WIRE, ELECTRICAL .020 DIA	X
AR	AR	40	1006757-1	WIRE, ELECTRICAL .010 X .020	
AR	AR	39	1006757-9	WIRE, ELECTRICAL .032 DIA	
	AR	38	1006776-22	INSULATION SLEEVING, ELECTRICAL	X
AR	AR	37	1006776-21	INSULATION SLEEVING, ELECTRICAL	
AR	AR	36	1006776-20	INSULATION SLEEVING, ELECTRICAL	
AR	AR	35	SEE DRAWING NOTE 22	TRANSISTOR (MATCHED PAIR)	
1	1	34	1010273-3	TRANSFORMER	
1	1	33	1010324	TRANSFORMER	
1	1	32	1010307	TRANSISTOR	
1	1	31	1010431	TRANSISTOR	
1	1	30	1008813-3	TRANSISTOR (MATCHED PAIR)	
	1	29	1010265-2	SEMICONDUCTOR DEVICE, DIODE	X
1	1	28	1010372-15	SEMICONDUCTOR DEVICE, DIODE	
2	2	27	1010264-9	CAPACITOR, FIXED	
2	2	26	1010264-37	CAPACITOR, FIXED	
1	1	25	1006750-57	RESISTOR, FIXED	
1	1	24	1006750-56	RESISTOR, FIXED	
2	2	23	1006750-25	RESISTOR, FIXED	
2	2	22	1006750-12	RESISTOR, FIXED	
4	4	21	1006750-1	RESISTOR, FIXED	
	2	20	1010369-1	RESISTOR, FIXED	X
1	1	19	1010364 SEE DRAWING NOTE 17	RESISTOR, FIXED	
1	1	18	1010364-573	RESISTOR, FIXED	
2	2	17	1010364-327	RESISTOR, FIXED	
1	1	16	1010364-309	RESISTOR, FIXED	
1	1	15	1010364-273	RESISTOR, FIXED	
2	2	14	1008025-2	INSULATOR, BUSHING	
2	2	13	1000093-13	SCREW	
2	2	12	1008024-4	WASHER, INSULATOR	
2	2	11	1008024-3	WASHER, INSULATOR	
2	2	10	1008021-2	BUSHING, INSULATOR	
2	2	9	1008071-5	WASHER, FLAT	
2	2	8	MS20341-416B	NUT	
8	8	7	1006775	INSULATOR	
8	8	6	1006782-5	CONTACT, WRAPOST – MALE	
		5			
	1	4	1008308	INSULATOR	X
	1	3	1008307	INSULATOR	X
		2			
1	1	1	1008306	HEATSINK	
					
				PROOFED	
