-21	-11	FIND	DRAWING	TITLE	STRIKE
X	X	REF	1009526	SCHEMATIC, ELECTRICAL	
AR		44	SEE DRAWING NOTE 26	MOISTUREPROOFING	
AR	AR	43	1010848-2	WIRE, ELECTRICAL – NICKEL	
1	1	42	SEE DRAWING NOTE 16	RESISTOR, FIXED	
1	1	41	1008540-3	GASKET, CONNECTOR, MINAT.	
1	1	40	1008540-6	GASKET, CONNECTOR, MINAT.	
1	1	39	1008640-4	GASKET, CONNECTOR, MINAT.	
2	2	38	1000093-13	SCREW	
	AR	37	1006757-8	WIRE .020 DIA	X
AR	AR	36	1006757-1	WIRE .020 X .010	
AR	AR	35	1006757-9	WIRE .032 DIA	
AR	AR	34	1006776-22	INSULATION	
AR	AR	33	1006776-21	INSULATION	
AR	AR	32	1006776-20	INSULATION	
1	1	31	1010273-3	TRANSISTOR (MATCHED PAIR)	
1	1	30	1010398-4	TRANSISTOR (MATCHED PAIR)	
2	2	29	1010385	SEMICONDUCTOR, DEVICE, DIODE	
1	1	28	1010407	TRANSFORMER	
1	1	27	1010308	TRANSFORMER	
2	2	26	1010264-37	CAPACITOR, FIXED	
1	1	25	1010264-35	CAPACITOR, FIXED	
2	2	24	1010264-1	CAPACITOR, FIXED	
1	1	23	SEE DRAWING NOTE 16	RESISTOR, FIXED	
1	1	22	1010364-251	RESISTOR, FIXED	
1	1	21	1006750-12	RESISTOR, FIXED	
1	1	20	SEE DRAWING NOTE 16	RESISTOR, FIXED	
1	1	19	SEE DRAWING NOTE 16	RESISTOR, FIXED	
1	1	18	1010389-65	RESISTOR, FIXED	
1	1	17	1010389-56	RESISTOR, FIXED	
1	1	16	1010389-53	RESISTOR, FIXED	
1	1	15	1010389-43	RESISTOR, FIXED	
1	1	14	1006750-56	RESISTOR, FIXED	
2	2	13	1006750-20	RESISTOR, FIXED	
2	2	12	1008025-2	INSULATOR, BUSHING	
2	2	11	1008024-4	WASHER, INSULATOR	
2	2	10	1008024-3	WASHER, INSULATOR	
2	2	9	1008021-2	BUSHING, INSULATOR	
2	2	8	1008071-5	WASHER, FLAT	
2	2	7	MS20341-416B	NUT	
13	13	6	1006775	INSULATOR	
13	13	5	1006782-5	CONTACT, WRAPOST – MALE	
		4			
	1	3	1008305	INSULATOR	X
1	1	2	1008304	INSULATOR	
1	1	1	1008303	HEATSINK	
					
				PROOFED	
