-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
AR			52	SEE DRAWING NOTE 26	MOISTUREPROOFING	
AR	AR	AR	51	1010848-2	WIRE, ELECTRICAL – NICKEL	
1	1		50	1010829-12	SEMICONDUCTOR DEVICE, DIODE	
X	X		REF	1009527	SCHEMATIC, ELECTRICAL	
1	1		49	1006750-25	RESISTOR	
		X	REF	1010029	SCHEMATIC, ELECTRICAL	
AR	AR	AR	48	SEE DRAWING NOTE 21	INSULATION TAPE, ELEC	
AR	AR	AR	47	1006776-20	INSULATION SLEEVING, ELEC.	
AR	AR	AR	46	1006757-1	RIBBON .010 X .020	
AR	AR	AR	45	1006776-22	INSULATION SLEEVING, ELEC.	
	AR	AR	44	1006757-8	WIRE, ELECT .020 DIA	X
AR	AR	AR	43	1006776-21	INSULATION SLEEVING, ELEC.	
1	1	1	42	1010422	TRANSFORMER	
1	1	1	41	1010291-2	TRANSFORMER	
1	1	1	40	1010269-2	TRANSISTOR (MATCHED PAIR)	
1	1	1	39	1010398-4	TRANSISTOR (MATCHED PAIR)	
1	1	1	38	1010397-1	TRANSISTOR	
1	1	1	37	1010431	TRANSISTOR	
		1	36	1010265-12	SEMICONDUCTOR DEVICE, DIODE	
11	11	11	35	1010385	SEMICONDUCTOR DEVICE, DIODE	
1	1	1	34	1010309-4	REACTOR	
1	1	1	33	1006793-023	CAPACITOR	
2	2	2	32	1010409 SEE DRAWING NOTE 17	CAPACITOR	
2	2	2	31	1010410-7	CAPACITOR	
2	2	2	30	1010410-15	CAPACITOR	
1	1	1	29	1010278-72	RESISTOR	
1	1	1	28	1010312-022	RESISTOR	
2	2	2	27	1006760-33	RESISTOR	
1	1	1	26	1010364 SEE DRAWING NOTE 17	RESISTOR	
1	1	1	25	1010364 SEE DRAWING NOTE 17	RESISTOR	
1	1	1	24	1010364-193	RESISTOR	
1	1	1	23	1010364-309	RESISTOR	
2	2	2	22	1010364-579	RESISTOR	
		1	21	1006750-73	RESISTOR	
1	1	1	20	1006750-8	RESISTOR	
1	1	1	19	1006750-43	RESISTOR	
2	2	2	18	1006750-65	RESISTOR	
2	2	2	17	1006750-45	RESISTOR	
2	2	2	16	1006750-56	RESISTOR	
8	8	8	15	1006775	INSULATOR, WRAPOST MALE	
8	8	8	14	1006782-5	CONTACT, WRAPOST MALE	
2	2	2	13	1008021-1	SPACER	
1	1	1	12	1008540-3	GASKET, CONNECTOR MINAT	
2	2	2	11	1008071-4	WASHER, PLAIN	
2	2	2	10	1000093-3	SCREW	
1	1	1	9	1008540-5	GASKET, CONNECTOR MINAT	
2	2	2	8	1008024-2	WASHER, MICA	
2	2	2	7	1008024-1	WASHER, MICA	
2	2	2	6	MS20341-10B	NUT	
1	1	1	5	1008025-1	INSULATOR, BUSHING	
2	2	2	4	1008025-2	INSULATOR, BUSHING	
	1	1	3	1015724	INSULATOR	X
1	1	1	2	1015723	INSULATOR	
1	1	1	1	1015725	HEATSINK	
						
					PROOFED	
