-081	-071	-061	-051	-041	-031	-021	-011	QTY	TITLE	FIND
1010042	1010042	1010042	1010042	1010042	1010042	1010042	1010042	X	SCHEMATIC	REF
										
SEE DRAWING NOTE 14	SEE DRAWING NOTE 14	SEE DRAWING NOTE 14	SEE DRAWING NOTE 14					AR	MOISTUREPROOFING	10
1008540-10	1008540-10	1008540-10	1008540-10	1008540-10	1008540-10	1008540-10	1008540-10	1	GASKET, CONNECTOR MINIATURE	9
'1010432-4	'1010432-3	'1010432-2	'1010432-1	'1010432-4	'1010432-3	'1010432-2	'1010432-1	1	CAPACITOR	8
'1010262-6	'1010262-5	'1010262-4	'1010262-3	'1010262-6	'1010262-5	'1010262-4	'1010262-3	1	RESISTOR, FIXED	7
1006757-1	1006757-1	1006757-1	1006757-1	1006757-1	1006757-1	1006757-1	1006757-1	AR	WIRE, ELECTRICAL	6
1006776-22	1006776-22	1006776-22	1006776-22	1006776-22	1006776-22	1006776-22	1006776-22	AR	INSULATION, SLEEVING ELECT.	5
1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	AR	INSULATION, SLEEVING ELECT.	4
1006782-5	1006782-5	1006782-5	1006782-5	1006782-5	1006782-5	1006782-5	1006782-5	9	CONTACT, WRAPOST	3
1006775	1006775	1006775	1006775	1006775	1006775	1006775	1006775	9	INSULATOR, WRAPOST	2
1008073	1008073	1008073	1008073	1008073	1008073	1008073	1008073	1	HEATSINK	1
										
									PROOFED	
