-21	-11	DRAWING	TITLE	FIND	STRIKE	NOTE
AR		SEE DRAWING NOTE 22	MOISTUREPROOFING	56		
AR	AR	1010848-2	WIRE, ELECTRICAL - NICKEL	55		
1	1	1010966-1	TRANSISTOR	54		
3	3	1010830-9	DIODE	53		
X	X	1009528	SCHEMATIC, ELECTRICAL	REF		
1	1	1008542	GASKET, CONNECTOR MINIATURE	52		
1	1	1008541	GASKET, CONNECTOR MINIATURE	51		
1	1	1008543	GASKET, CONNECTOR MINIATURE	50		
	1	1006752	TRANSISTOR	49	X	
1	1	1006750-51	RESISTOR	48		
AR	AR	1006776-20	INSULATION, SLEEVING ELECT	47		
13	13	1008025-1	INSULATOR, BUSHING	46		
39	39	1006775	INSULATOR, WRAPOST - MALE, MINAT	45		
AR	AR	1006776-21	INSULATION SLEEVING	44		
	AR	1006757-8	WIRE ELEC .020 DIA	43	X	
AR	AR	1006757-1	WIRE ELEC .010 X .020	42		
	AR	1006776-22	INSULATION, SLEEVING ELECT	41	X	
39	39	1006782-5	CONTACT, WRAPOST - MALE, MINAT	40		
1	1	1010353-4	RELAY	39		
1	1	1006755-85	CAPACITOR	38		
2	2	1010467	TRANSFORMER	37		
6	6	1008814-1	TRANSISTOR	36		
6	6	1010397-1	TRANSISTOR	35		
1	1	1010372-9	DIODE	34		
				33		
3	3	1010372-16	DIODE	32		
	3	1010286-009	DIODE	31	X	
2	2	1010372-8	DIODE	30		
36	36	1010385	DIODE	29		
1	1	1010369-90	RESISTOR	28		
1	1	1006755-57	CAPACITOR	27		
2	2	1006755-89	CAPACITOR	26		
6	6	1006755-69	CAPACITOR	25		
2	2	1006760-43	RESISTOR	24		
1	1	1006750-39	RESISTOR	23		
1	1	1010369-101	RESISTOR	22		
2	2	1006750-48	RESISTOR	21		
1	1	1006760-48	RESISTOR	20		
1	1	1006750-15	RESISTOR	19		
3	3	1010604-3	RESISTOR	18		
1	1	1006750-43	RESISTOR	17		
3	3	1006750-53	RESISTOR	16		
3	3	1006760-38	RESISTOR	15		
6	6	1006750-49	RESISTOR	14		
4	4	1006750-80	RESISTOR	13		
1	1	1010369	RESISTOR	12		See drawing note 12
3	3	1006750-73	RESISTOR	11		
7	7	1006750-32	RESISTOR	10		
7	7	1006750-75	RESISTOR	9		
1	1	1006750	RESISTOR	8		See drawing note 12
1	1	1006750	RESISTOR	7		See drawing note 12
1	1	1006750-45	RESISTOR	6		
4	4	1006750-56	RESISTOR	5		
1	1	1006750-44	RESISTOR	4		
1	1	1008089	INSULATOR BOTTOM	3		
1	1	1008088	INSULATOR TOP	2		
1	1	1007038	HEATSINK	1		
						
			PROOF			
