-21	-11	DRAWING	TITLE	FIND	STRIKE
AR		SEE DRAWING NOTE 23	MOISTUREPROOFING	75	
AR	AR	1010848-2	WIRE, ELECTRICAL – NICKEL	74	
1	1	2008013-9	TERMINAL LUG, SOLDER FLAT	73	
1	1	1008815-25	DIODE, ZENER	72	
1	1	1008815-9	DIODE, ZENER	71	
1	1	1008815-5	DIODE, ZENER	70	
X	X	1009532	SCHEMATIC	REF	
2	2	1008540-2	GASKET, CONNECTOR MINIATURE	69	
2	2	1008540-7	GASKET, CONNECTOR MINIATURE	68	
2	2	1010398-3	TRANSISTOR	67	
	AR	1006757-8	WIRE ELEC .020 DIA	66	X
	AR	1006776-22	INSULATION SLEEVING ELEC	65	X
AR	AR	1006757-1	WIRE, ELEC .010 X .020	64	
AR	AR	1006776-21	INSULATION, SLEEVING	63	
18	18	1006775	INSULATOR, WRAPOST – MALE, MINIATURE	62	
18	18	1006782-5	CONTACT, WRAPOST – MALE, MINIATURE	61	
AR	AR	1006776-20	INSULATION SLEEVING	60	
AR	AR	1006757-9	WIRE ELEC .032 DIA	59	
1	1	1008094-1	INSULATOR	58	
	1	1008094-2	INSULATOR	57	X
3	3	1010292-2	TERMINAL, FEEDTHRU	56	
6	6	1008024-2	WASHER, INSULATOR	55	
3	3	1008021-1	BUSHING, INSULATOR	54	
6	6	1008024-1	WASHER, INSULATOR	53	
3	3	1008071-2	WASHER	52	
3	3	MS20341-10B	NUT	51	
3	3	1008025-2	INSULATOR, BUSHING	50	
1	1	1010745	TRANSFORMER	49	
1	1	1010315-2	TRANSFORMER	48	
1	1	1010376-4	TRANSISTOR	47	
2	2	1010499-2	TRANSISTOR	46	
1	1	1010398-1	TRANSISTOR	45	
2	2	1010376-1	TRANSISTOR	44	
4	4	1010384	DIODE	43	
1	1	1010331-013	DIODE, ZENER	42	
4	4	1010497	DIODE	41	
	1	1010286-25	DIODE, ZENER	40	X
	1	1010286-9	DIODE	39	X
6	6	1010385	DIODE	38	
	1	1010286-8	DIODE, ZENER	37	X
1	1	1010460-1	CAPACITOR	36	
1	1	1010460-2	CAPACITOR	35	
1	1	1010264-29	CAPACITOR	34	
2	2	1006755-89	CAPACITOR	33	
1	1	1006777-18	CAPACITOR	32	
1	1	1006755-79	CAPACITOR	31	
2	2	1010393-045	CAPACITOR	30	
2	2	1006777-30	CAPACITOR	29	
2	2	1010316-36	CAPACITOR	28	
2	2	1006777-16	CAPACITOR	27	
1	1	1006755-85	CAPACITOR	26	
1	1	1010278-80	RESISTOR	25	
				24	
1	1	1010389-46	RESISTOR	23	
				22	
				21	
1	1	1010278-94	RESISTOR	20	
2	2	1006802-2	RESISTOR	19	
2	2	1006750-31	RESISTOR	18	
2	2	1006750-18	RESISTOR	17	
1	1	1010278-70	RESISTOR	16	
1	1	1006750-47	RESISTOR	15	
1	1	1006750-50	RESISTOR	14	
1	1	1006750-21	RESISTOR	13	
1	1	1006750-63	RESISTOR	12	
4	4	1006750-56	RESISTOR	11	
2	2	1010377-111	RESISTOR	10	
2	2	1010377-110	RESISTOR	9	
2	2	1006750-74	RESISTOR	8	
1	1	1006750-62	RESISTOR	7	
1	1	1006750-12	RESISTOR	6	
1	1	1006750-51	RESISTOR	5	
1	1	1006750-65	RESISTOR	4	
	1	1008093-2	INSULATOR	3	X
1	1	1008093-1	INSULATOR	2	
1	1	1007069	HEATSINK	1	
					
			PROOFED		
