-11	FIND	DRAWING	TITLE	STRIKE
X	REF	1009543	SCHEMATIC, ELECTRICAL	
1	70	1008540-14	GASKET, CONNECTOR MINIATURE	
1	69	-11	GASKET, CONNECTOR MINIATURE	
1	68	1010359 SEE DRAWING NOTE 20	CAPACITOR	
AR	67	1006776-21	INSULATION, SLEEVING	
1	66	1015699	INSULATOR, RELAY	
2	65	1008021-1	INSULATOR, BUSHING	
AR	64	1010848-2	WIRE, ELECTRICAL	
AR	63	1006757-1	WIRE, ELECTRICAL	
AR	62	1006776-22	INSULATION, SLEEVING	X
9	61	1008025-1	INSULATOR, BUSHING	
2	60	MS35649-42	NUT, PLAIN HEX	
2	59	MS35650-104	NUT, PLAIN HEX	
2	58	MS35338-21	WASHER, LOCKING	
2	57	MS15795-204	WASHER, PLAIN FLAT	
2	56	1008020-1	WASHER, FLAT	
4	55	1008024-1	WASHER, INSULATOR	
25	54	1006775	INSULATOR, WRAPOST	
25	53	1006782-5	CONTACT, WRAPOST	
2	52	1010292-001	TERMINAL, FEED THRU	
1	51	1010353-1	RELAY	
1	50	1010365	TRANSFORMER	
1	49	1010275	TRANSFORMER	
4	48	1010397-001	TRANSISTOR	
2	47	1010367	TRANSISTOR	
3	46	1010357-1	TRANSISTOR	
2	45	1010269-1	TRANSISTOR	
1	44	1010372-24	DIODE	
11	43	1010362-2	DIODE	
1	42	1010393-029	CAPACITOR	
2	41	1010359-29	CAPACITOR	
1	40	1010279-232	CAPACITOR	
1	39	1006755-85	CAPACITOR	
1	38	-83	CAPACITOR	
2	37	-81	CAPACITOR	
1	36	-77	CAPACITOR	
1	35	-73	CAPACITOR	
5	34	-69	CAPACITOR	
1	33	1010434-1	THERMISTOR	
1	32	1010368-17	RESISTOR	
1	31	1010364-670	RESISTOR	
4	30	-636	RESISTOR	
1	29	1006750-41	RESISTOR	
2	28	1006802-1	RESISTOR	
1	27	1006760-53	RESISTOR	
1	26	1006750-81	RESISTOR	
1	25	-80	RESISTOR	
1	24	-73	RESISTOR	
1	23	-72	RESISTOR	
1	22	-71	RESISTOR	
1	21	-69	RESISTOR	
1	20	-68	RESISTOR	
1	19	-66	RESISTOR	
1	18	-64	RESISTOR	
2	17	-63	RESISTOR	
4	16	-56	RESISTOR	
2	15	-53	RESISTOR	
3	14	-52	RESISTOR	
2	13	-49	RESISTOR	
1	12	-48	RESISTOR	
1	11	-45	RESISTOR	
1	10	-44	RESISTOR	
1	9	-42	RESISTOR	
3	8	-39	RESISTOR	
1	7	-36	RESISTOR	
1	6	-25	RESISTOR	
1	5	-13	RESISTOR	
1	4	-10	RESISTOR	
1	3	1008584-2	INSULATOR, BOTTOM	
1	2	-1	INSULATOR, TOP	
1	1	1008586	HEAT SINK	
				
			PROOFED	
