-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
			SEE NOTE 5	MOISTURE-PROOFING	26	
AR			1006879	SILICONE COMPOUND	25	
30			1008861-018	SCREW, CAP, SOCKET HEAD	24	
1			1007544-021	AMPL. 1% 3200 CSP	23	
3			1007540-031	GIMBAL SERVO AMPL.	22	
3			1007541-031	GIMBAL COARSE ALIGN AMPL.	21	
1			1007542-021	POWER SUPPLY -28VDC	20	
1			1007543-031	AAC FILTER MVB (3200 CSP)	19	
1			1007545-031	TEMP. CONT. PWR. SUP. 3200CPS 20V	18	
1			1007531-031	FRAME ASSEMBLY	17	
		1	1007543-021	AAC FILTER & MVB (3200 CPS)	16	
	AR	AR	1006879	SILICONE COMPOUND	15	
30	30	30	MS15795-805	WASHER, FLAT	14	
	30	30	NAS1352-06-8	SCREW, CAP, SOCKET HEAD	13	
		1	1007545-021	TEMP. CONT. PWR. SUP. 3200CPS 20V	12	
	1		1007402-011	AMPL 1% 3200 CPS	11	
		3	1007540-021	GIMBAL SERVO AMPL.	10	
		3	1007541-021	GIMBAL COARSE ALIGN AMPL.	9	
	1		1007531-021	FRAME ASSEMBLY	8	
	3		1007540-011	GIMBAL SERVO AMPL.	7	
	3		1007541-011	GIMBAL COARSE ALIGN AMPL.	6	
	1	1	1007542-011	POWER SUPPLY -28VDC	5	
	1		1007543-011	AAC FILTER & MVB (3200 CPS)	4	
		1	1007544-011	AMPL 1% 3200 CPS	3	
	1		1007545-011	TEMP. CONT. PWR. SUP. 3200CPS 20V	2	
		1	1007531-011	FRAME ASSEMBLY	1	
						
X	X	X	X	PROOFED	REF	X
