-41	-31	-21	-11	DRAWING	TITLE	FIND
AR				1006879	SILICONE COMPOUND	26
AR				SEE DRAWING NOTE 6	MOISTURE-PROOFING	25
1				1007552-021	PULSE TORQUING POWER SUPPLY	24
2				1007549-031	POWER SUPPLY 25.6 KC ENCODER	23
1				1007546-021	AAC 800 CPS FILTER AND MULTIVIBRATOR	22
1				1007547-021	AMPLIFIER 1% 800 CPS	21
1				1007551-021	FAILURE INDICATOR	20
1				1007573-031	FRAME ASSEMBLY	19
1				1007548-021	AMPLIFIER 5% 800 CPS	18
26				1008861-018	SCREW, CAP, SOCKET HEAD	17
	AR	AR	AR	1006879	SILICONE COMPOUND	16
25	26	26	26	MS15795-805	WASHER, FLAT	15
	26	26	26	NAS1352-06-8	SCREW, CAP, SOCKET HEAD	14
			1	1007547-011	AMPLIFIER 1% 800 CPS	13
	1		1	1007548-011	AMPLIFIER 5% 800 CPS	12
			2	1007549-021	POWER SUPPLY 25.6 KC ENCODER	11
			1	1007552-011	PULSE TORQUING POWER SUPPLY	10
	1	1		1007532-021	FRAME ASSEMBLY	9
	1	1	1	1007551-011	FAILURE INDICATOR	8
	1	1		1007437-011	AMPLIFIER 1% 800 CPS	7
	1	1	1	1007546-011	AAC 800 CPS FILTER AND MULTIVIBRATOR	6
		1		1007438-011	AMPLIFIER 5% 800 CPS	5
						4
	2	2		1007549-011	POWER SUPPLY 25.6 KC, ENCODER	3
	1	1		1007412-011	PULSE TORQUING POWER SUPPLY	2
			1	1007532-011	FRAME ASSEMBLY	1
						
					PROOFED	
