-31	-21	-11	FIND	DRAWING	TITLE
AR			23	1006879	SILICONE COMPOUND
AR			22	SEE DRAWING NOTE 6	MOISTURE-PROOFING
1			21	1007534-031	FRAME ASSEMBLY
1			20	1007517-021	AC DIFF AMPL
1			19	1007519-021	INTERROGATOR
3			18	1007516-021	TERNARY CURRENT SWITCH
3			17	1007507-031	DC DIFF AMPL AND PVR
1			16	1007527-021	BINARY CURRENT SWITCH
36			15	1008861-018	SCREW, CAP, SOCKET HEAD
		3	14	1007507-021	D.C. DIFFERENTIAL AMPLIFIER
	AR	AR	13	1006879	SILICONE COMPOUND
36	36	36	12	MS15795-805	WASHER, FLAT
	36	36	11	NAS1352-06-8	SCREW, CAP, SOCKET HEAD
	1		10	1007534-021	FRAME ASSEMBLY
		1	9	1007519-011	INTERROGATOR
		3	8	1007516-011	TERNARY CURRENT SWITCH
		1	7	1007527-011	BINARY CURRENT SWITCH
	1	1	6	1007517-011	AC DIFF AMPL
	1		5	1007419-011	INTERROGATOR
	3		4	1007416-011	TERNARY CURRENT SWITCH
	3		3	1007507-011	DC DIFF AMPL AND PVR
	1		2	1007427-011	BINARY CURRENT SWITCH
		1	1	1007534-011	FRAME ASSEMBLY
					
					PROOFED
