-31	-21	-11	DRAWING	TITLE	FIND
AR			1008879	SILICONE COMPOUND	18
AR			SEE DRAWING NOTE 5	MOISTURE PROOFING	17
24			1008861-018	SCREW, CAP, SOCKET HEAD	16
1			1007561-021	CDU ZEROING AND LOCK RELAYS	15
1			1007558-021	FWD-BACKWARD CTR. & CMPTR OUTPUT	14
3			1007555-021	CDU D TO A CONVERTER	13
3			1007554-021	ENCODER	12
1			1007535-031	FRAME ASSEMBLY	11
	AR	AR	1006879	SILICONE COMPOUND	10
24	24	24	MS15795-805	WASHER, FLAT	9
	24	24	NAS1352-06-8	SCREW, CAP, SOCKET HEAD	8
		1	1007535-011	FRAME ASSEMBLY	7
	1	1	1007561-011	CDU ZEROING AND LOCK RELAYS	6
	1	1	1007558-011	FWD-BACKWARD CTR. & CMPTR OUTPUT	5
		3	1007554-011	ENCODER	4
	3	3	1007555-011	CDU D TO A CONVERTER	3
	3		1007414-011	ENCODER	2
	1		1007535-021	FRAME ASSEMBLY	1
					
				PROOFED	
