-31	-21	-11	DRAWING	TITLE	FIND
1			1007510-031	CDU RESOLVER LOADS	21
AR	AR		1006879	SILICONE COMPOUND	20
AR	AR		SEE DRAWING NOTE 5	MOISTUREPROOFING	19
25	25		1008861-018	SCREW, CAP, SOCKET HEAD	18
	1		1007510-021	CDU RESOLVER LOADS	17
3	3		1007557-021	MOTOR DRIVE AMP & SELECTOR CIRCUIT	16
1	1		1007548-021	AMPLIFIER 5% 800 CPS	15
1	1		1007546-021	AAC FILTER & MULTIVIBRATOR 800 CPS	14
1	1		1007547-021	AMPLIFIER 1% 800 CPS	13
1	1		1007564-021	CDU ZEROING TRANS. RELAYS	12
1	1		1007536-021	FRAME ASSEMBLY	11
		AR	1006879	SILICONE COMPOUND	10
25	25	25	MS15795-805	WASHER, FLAT	9
		25	NAS1352-06-8	SCREW, CAP, SOCKET HEAD	8
		1	1007510-011	CDU RESOLVER LOADS	7
		3	1007557-011	MOTOR DRIVE AMP & SELECTOR CIRCUIT	6
		1	1007548-011	AMPLIFIER 5% 800 CPS	5
		1	1007546-011	AAC FILTER & MULTIVIBRATOR 800 CPS	4
		1	1007547-011	AMPLIFIER 1% 800 CPS	3
		1	1007564-011	CDU ZEROING TRANS. RELAYS	2
		1	1007536-011	FRAME ASSEMBLY	1
					
				PROOFED	
