-31	-21	-11	DRAWING	TITLE	FIND
AR			SEE DRAWING NOTE 5	MOISTURE PROOFING	27
1			1007218-021	PVR DELAY CIRCUIT	26
1			1007518-031	IMU TEMP. IND. ALARM & BACKUP CONT.	25
AR			1006879	SILICONE COMPOUND	24
					
	21		1008861-018	SCREW, CAP SOCKET HEAD	23
	1		1007556-021	IMU TEMPERATURE CONTROLLER	22
	2		1007554-021	ENCODER	21
	1		1007552-021	PULSE TORQUING POWER SUPPLY	20
	1		1007563-021	CDU FIXED RESOLUTION TRANS. & ENTRY	19
	1		1007537-031	FRAME ASSEMBLY	18
		1	1007218-011	PVR DELAY CIRCUIT	17
		1	1007518-021	IMU TEMP. IND ALARM AND BACKUP CONT	16
	AR	AR	1006879	SILICONE COMPOUND	15
21	19	21	MS15795-805	WASHER, FLAT	14
	19	21	NAS1352-06-8	SCREW, CAP SOCKET HEAD	13
	1		1007163	CONNECTOR, PLUG ELEC	12
		1	1007556-011	IMU TEMPERATURE CONTROLLER	11
		2	1007554-011	ENCODER	10
		1	1007552-011	PULSE TORQUING POWER SUPPLY	9
	1		1007537-021	FRAME ASSEMBLY	8
1		1	1007593	CONNECTOR, PLUG ELEC	7
	1		1007518-011	IMU TEMP IND ALARM & BACK-UP CONT.	6
	1	1	1007563-011	CDU FIXED RESOLUTION TRANS. & ENTRY	5
	1		1007426-011	IMU TEMPERATURE CONTROLLER	4
	2		1007414-011	ENCODER	3
	1		1007412-011	PULSE TORQUING POWER SUPPLY	2
		1	1007537-011	FRAME ASSEMBLY	1
					
				PROOFED	
