-21	-11	DRAWING	TITLE	FIND
AR		SEE DRAWING NOTE 5	MOISTURE-PROOFING	20
AR		1006879	SILICON COMPOUND	19
23		1008861-018	SCREW, CAP SOCKET HEAD	18
3		1007581-021	MOTOR DRIVE AMP	17
2		1007555-021	CDU D TO A CONVERTER	16
1		1007528-021	SCT MODING	15
1		1007567-021	RELAY	14
1		1007522-021	TWO-SPEED SWITCH	13
1		1007526-021	BUFFER CIRCUIT	12
1		1007538-021	FRAME ASSEMBLY	11
	AR	1006879	SILICON COMPOUND	10
23	23	MS15795-805	WASHER, FLAT	9
	23	NAS1352-06-8	SCREW, CAP SOCKET HEAD	8
	3	1007581-011	MOTOR DRIVE AMP	7
	2	1007555-011	CDU D TO A CONVERTER	6
	1	1007528-011	SCT MODING	5
	1	1007567-011	RELAY	4
	1	1007522-011	TWO-SPEED SWITCH	3
	1	1007526-011	BUFFER CIRCUIT	2
	1	1007538-011	FRAME ASSEMBLY	1
				
			PROOFED	
