-011	DRAWING	TITLE	FIND
86	1010958-1	PLUG, SEALING	35
AR	1006835	AGENT, CURING	34
AR	1006720	COMPOUND, SILICONE	33
AR	1010679	ADHESIVE, ACTIVATOR	32
AR	1010661	EPOXY RESIN	31
1	1015088	WIRE LIST CC	30
1	1021791	WIRE LIST BB	29
1	MS35335-58	WASHER, LOCK, EXT TOOTH	28
2	MS35335-57	WASHER, LOCK, EXT TOOTH	27
6	MS35649-64	NUT, PLAIN HEX	26
13	MS35649-44	NUT, PLAIN HEX	25
1	1010628-34	SCREW, FLAT HEAD	24
5	-33	SCREW, FLAT HEAD	23
13	1010618-15	SCREW, BUTTON HEAD	22
1	1010844-004	CONNECTOR RECEPTACLE ELEC	21
1	-003	CONNECTOR RECEPTACLE ELEC	20
1	-001	CONNECTOR RECEPTACLE ELEC	19
6	1008583	SPACER	18
1	1007583	CONNECTOR PLATE ASSEMBLY	17
3	1008232	CAP, PROTECTIVE	16
4	1008231	CAP, PROTECTIVE	15
4	MS21209-F1-20	INSERT, SCREW LOCKING	14
8	1010731-296	SCREW, FLAT HEAD, HEX SOCKET	13
8	1010618-17	SCREW, BUTTON HEAD	12
13	-14	SCREW, BUTTON HEAD	11
4	1008574-002	TRAY STOP	10
6	-001	TRAY STOP	9
10	1008163	PIN, LOCATING	8
696	1010379-5	CONTACT, ELEC, FEMALE WRAPOST	7
696	1010380	INSULATOR, BUSH., FEMALE, WRAPOST	6
270	1006781-3	CONTACT, WRAPOST, FEMALE, MIN	5
270	1006774	INSULATOR, WRAPOST, FEMALE, MIN	4
4	1008153	PIN, SETP	3
1	1007565	BOTTOM PLATE ASSY	2
1	1007562	FRONT PLATE ASSY	1
			
		PROOFED	
