-21	-11	FIND	DRAWING	TITLE
X	X	REF	1009545	SCHEMATIC, ELECTRICAL
AR		47	SEE DRAWING NOTE 19	MOISTUREPROOFING
1	1	46	1010364-67	RESISTOR
1	1	45	1006755-134	CAPACITOR
1	1	44	1008540-12	GASKET, CONNECTOR – MINIATURE
AR	AR	43	1006776-22	INSULATION SLEEVING #24
2	2	42	1010364-693	RESISTOR, FIXED
2	2	41	1010485-42	SCREW, FIL HD
AR	AR	40	1006776-21	INSULATION SLEEVING #22
AR	AR	39	1006787-2	WIRE ELEC - .020 DIA
AR	AR	38	1006757-1	WIRE, ELEC - .010 X .020
AR	AR	37	1006776-20	INSULATION SLEEVING #20
12	12	36	1006782-5	CONTACT, WRAPOST MALE MINAT
12	12	35	1006775	INSULATOR, WRAPOST MALE MINAT
2	2	34	1010485-100	SCREW, FIL HD
1	1	33	1015135-015	SPACER
2	2	32	1006750-42	RESISTOR, FIXED
2	2	31	-25	RESISTOR, FIXED
2	2	30	-12	RESISTOR, FIXED
2	2	29	1010368-8	RESISTOR, FIXED
2	2	28	1006750-56	RESISTOR, FIXED
2	2	27	-26	RESISTOR, FIXED
2	2	26	1010364-673	RESISTOR, FIXED
2	2	25	1010368-115	RESISTOR, FIXED
2	2	24	1006750-66	RESISTOR, FIXED
2	2	23	-44	RESISTOR, FIXED
2	2	22	-32	RESISTOR, FIXED
2	2	21	1010364-757	RESISTOR, FIXED
2	2	20	1006750-73	RESISTOR, FIXED
2	2	19	-72	RESISTOR, FIXED
2	2	18	-84	RESISTOR, FIXED
2	2	17	1010364-727	RESISTOR, FIXED
2	2	16	1006750-77	RESISTOR, FIXED
2	2	15	1010364-687	RESISTOR, FIXED
2	2	14	1010398-2	TRANSISTOR
2	2	13	1010357-1	TRANSISTOR
4	4	12	1010397-1	TRANSISTOR
2	2	11	1010372-24	SEMICONDUCTOR DEVICE – DIODE
2	2	10	1010375-56	CAPACITOR
2	2	9	1010359-18	CAPACITOR
2	2	8	1010409-33	CAPACITOR
2	2	7	1010359-21	CAPACITOR
2	2	6	1006755-45	CAPACITOR
2	2	5	-31	CAPACITOR
4	4	4	-79	CAPACITOR
1	1	3	1008594	WAFER – UPPER
1	1	2	1008595	WAFER – LOWER
1	1	1	1007588	FRAME
				
				PROOFED
