-11	FIND	DRAWING	TITLE
X	REF	1010241	SCHEMATIC
			
1	52	1010393-021	CAPACITOR
1	51	1010372-13	DIODE
1	50	1010362-001	DIODE
9	49	1010397-1	TRANSISTOR
10	48	1010367	TRANSISTOR
4	47	1008832	TRANSFORMER
1	46	1010710	TRANSFORMER
5	45	1010324	TRANSFORMER
5	44	1010323	TRANSFORMER
4	43	1010364-769	RESISTOR
4	42	-707	RESISTOR
2	41	-515	RESISTOR
1	40	-439	RESISTOR
1	39	-365	RESISTOR
8	38	-653	RESISTOR
1	37	-319	RESISTOR
4	36	1010311-291	RESISTOR
12	35	-126	RESISTOR
4	34	1010311 (SEE DRAWING NOTE 12)	RESISTOR
2	33	1006750-75	RESISTOR
1	32	-73	RESISTOR
4	31	-68	RESISTOR
4	30	-65	RESISTOR
4	29	-56	RESISTOR
2	28	-48	RESISTOR
8	27	-39	RESISTOR
8	26	-36	RESISTOR
2	25	-25	RESISTOR
4	24	1010410 (SEE DRAWING NOTE 12)	CAPACITOR
4	23	1010410-9	CAPACITOR
1	22	1010393-037	CAPACITOR
2	21	-033	CAPACITOR
8	20	1010279-16	CAPACITOR
4	19	1006755-69	CAPACITOR
8	18	-34	CAPACITOR
4	17	-31	CAPACITOR
AR	16	1006776-22	INSULATION, SLEEVING, ELECTRICAL
AR	15	-21	INSULATION, SLEEVING, ELECTRICAL
AR	14	1010848-2	WIRE, ELECTRICAL
AR	13	1006757-1	WIRE, ELECTRICAL
1	12	1010779-12	CONNECTOR, RECEPTACLE, ELECTRICAL
1	11	2008093-002	TERMINAL THREADED
2	10	1010618-4	SCREW
4	9	1008161-4	SCREW
16	8	-1	SCREW
2	7	1008297	SPACER
8	6	1015135-014	SPACER
1	5	1008646	WIRING BOARD D
1	4	1008645	WIRING BOARD C
1	3	1008644	WIRING BOARD B
1	2	1008643	WIRING BOARD A
1	1	1008166	FRAME
			
			PROOFED
