-11	DRAWING	TITLE	FIND
X	1010244	SCHEMATIC	REF
			
1	2008093-002	TERMINAL THREADED	37
6	1010311-117	RESISTOR	36
AR	1010848-2	WIRE, ELECTRICAL	35
AR	1006757-1	WIRE, ELECTRICAL	34
12	1010397-1	TRANSISTOR	33
12	1010367	TRANSISTOR	32
6	1008832	TRANSFORMER	31
6	1010324	TRANSFORMER	30
6	1010323	TRANSFORMER	29
18	1010364-769	RESISTOR	28
6	-707	RESISTOR	27
6	1010311 (SEE DRAWING NOTE 12)	RESISTOR	26
6	1010311-291	RESISTOR	25
12	-126	RESISTOR	24
6	1006750-68	RESISTOR	23
6	-65	RESISTOR	22
6	-56	RESISTOR	21
12	-39	RESISTOR	20
12	-36	RESISTOR	19
6	1010410 (SEE DRAWING NOTE 11)	CAPACITOR	18
6	1010410-1	CAPACITOR	17
12	1010279-16	CAPACITOR	16
6	1006755-69	CAPACITOR	15
12	-34	CAPACITOR	14
6	-31	CAPACITOR	13
1	1010779-12	CONNECTOR, RECEPTACLE, ELEC	12
2	1010618-4	SCREW	11
AR	1006776-22	INSULATION, SLEEVING, ELEC	10
AR	-21	INSULATION, SLEEVING, ELEC	9
8	1008161-1	SCREW	8
4	1008168-2	SPACER	7
8	1015135-014	SPACER	6
1	1008471	WIRING BOARD D	5
1	1008470	WIRING BOARD C	4
1	1008474	WIRING BOARD B	3
1	1008468	WIRING BOARD A	2
1	1008072	FRAME	1
			
		PROOFED	
