-51	-41	-31	-21	-11	DRAWING	TITLE	FIND
2		2			AN960C4	WASHER, FLAT (1897006-024)	40
2		2			1008349	SPACER, NYLON	39
		X			1010199	WIRING DIAGRAM	REF
			X		1010198	WIRING DIAGRAM	REF
				X	1010197	WIRING DIAGRAM	REF
AR	AR	AR	AR	AR	QQ-W-343 TYPE S	WIRE, COPPER 26 GUAGE	38
AR	AR	AR	AR	AR	1010789-017	WIRE, ELEC STRANDED, INSULATED	37
1	1	1	1	1	1006783-18	SCREW, BUTTON HEAD	36
8	8	8	8	8	1010617-4	NUT - HEX, SELF LOCKING	35
1	1	1	1	1	1010638-4	TERMINAL - LUG	34
1	1	1	1	1	1008351	BRACKET, CONNECTOR	33
5	5	5	5	5	1010618-13	SCREW, BUTTON HD, SELF LOCKING	32
1	1	1	1	1	1008356	TERMINAL BOARD, INSEP ASSY	31
1	1	1	1	1	1008354	TERMINAL BOARD, INSEP ASSY	30
1	1	1	1	1	1008355	TERMINAL BOARD, INSEP ASSY	29
1		1			1008353	BRACKET, CONNECTOR	28
2		2			1006783-20	SCREW, BUTTON HEAD	27
4	4	4	4	7	1010958-001	PLUG, PROTECTIVE	26
1		1			1010857-1	CONNECTOR, RECEPTACLE ELEC	25
AR	AR	AR	AR	AR	1010789-024	WIRE, ELEC STRANDED, INSULATED	24
AR	AR	AR	AR	AR	1010789-022	WIRE, ELEC STRANDED, INSULATED	23
AR	AR	AR	AR	AR	1010789-016	WIRE, ELEC STRANDED, INSULATED	22
240	240	240	240	240	1010738-5	CONTACT, CRIMP TYPE	21
15	15	15	15	12	1010770-2	CONTACT, SOCKET	20
	1		1	1	1010812-3	SEAL	19
2	1	2	1	1	1010812-2	SEAL	18
	2		2	2	1006783-19	SCREW, BUTTON HD, SELF LOCKING	17
	1		1	1	1010823-3	CONNECTOR, PLUG, ELEC	16
6	6	6	6	6	MS35649-44	NUT, PLAIN HEX	15
6	6	6	6	6	MS35338-78	WASHER, LOCK	14
6	6	6	6	6	MS15795-803	WASHER, FLAT (1897006-024)	13
8	8	8	8	8	MS24671-3	SCREW, FLAT HD	12
	1		1	1	1008352	BRACKET, CONNECTOR	11
6	6	6	6	6	1006783-95	SCREW, BUTTON HD, SELF LOCKING	10
1	1	1	1	1	1010779-4	CONNECTOR, PLUG, ELEC	9
1	1	1	1	1	1010779-17	CONNECTOR, PLUG, ELEC	8
1	1	1	1	1	1010930-013	CONNECTOR, RECEPTACLE ELEC	7
1	1	1	1	1	1010819-1	CONNECTOR, PLUG, ELEC	6
2	2	2	2	2	1008171	BUSHING, CONNECTOR	5
2	2	2	2	2	1010628-14	SCREW, FLAT HD, SELF LOCKING	4
12	12	12	12	12	1010618-3	SCREW, BUTTON HD, SELF LOCKING	3
4	4	4	4	4	1010779-11	CONNECTOR, PLUG, ELEC	2
1	1	1	1	1	1008670	FRAME	1
							
						PROOFED	
