-11	FIND	DRAWING	TITLE
X	REF	1010006	SCHEMATIC DIAGRAM, ELECTRICAL
1	24	1008290	INSULATOR, BOTTOM
2	23	1010761	DIODE
AR	22	1006757-1	WIRE, ELECTRICAL
AR	21	1006787-2	WIRE, ELECTRICAL
AR	20	1006776-22	INSULATION, SLEEVING, ELECTRICAL
2	19	1006755-45	CAPACITOR
1	18	1010393-037	CAPACITOR
1	17	1008848-001	CAPACITOR
2	16	1006755-69	CAPACITOR
4	15	1010369-95	RESISTOR
2	14	1010311-097	RESISTOR
2	13	1010311-023	RESISTOR
2	12	1010311-001	RESISTOR
2	11	1006750-50	RESISTOR
3	10	1006750-48	RESISTOR
1	9	1006750-49	RESISTOR
2	8	1006750-1	RESISTOR
2	7	1010376-1	TRNASISTOR
1	6	1010318-2	CONNECTOR, RECEPTACLE, ELEC.
2	5	1010292-1	TERMINAL, FEEDTHRU
2	4	1008026	SPACER
1	3	1008034	WIRING BOARD BOTTOM
1	2	1008033	WIRING BOARD TOP
1	1	1008277-011	HOUSING - PIP PREAMP (INSEP ASSY)
			
			PROOFED
