QTY	FIND	TITLE	-1	-2	-3	-4	-5	-6	-7	-8	-9	-10	-11	-12	-13	-14	-15	-16	-17	-18	-19	-20	-21	-22	-23	-24	-25	-26	-27	-28	-29	-30	-31	-32	-33	-34	-35	-36	-37	-38	-39	-40	-41	-42	-43	-44	-45	-46	-47	-48	-49	-50	-51
X	REF	LOGIC FLOW DIAGRAM MODULE A1	2005059 SHEET 1																																																		
X	REF	LOGIC FLOW DIAGRAM MODULE A1		2005059 SHEET 2																																																	
X	REF	LOGIC FLOW DIAGRAM MODULE A2			2005060 SHEETS 1 & 2																																																
X	REF	LOGIC FLOW DIAGRAM MODULE A2				2005060 SHEET 3																																															
X	REF	LOGIC FLOW DIAGRAM MODULE A3					2005051 SHEET 1																																														
X	REF	LOGIC FLOW DIAGRAM MODULE A3						2005051 SHEET 2																																													
X	REF	LOGIC FLOW DIAGRAM MODULE A4							2005062 SHEET 1																																												
X	REF	LOGIC FLOW DIAGRAM MODULE A4								2005062 SHEET 2																																											
X	REF	LOGIC FLOW DIAGRAM MODULE A5									2005061 SHEET 1																																										
X	REF	LOGIC FLOW DIAGRAM MODULE A5										2005061 SHEET 2																																									
X	REF	LOGIC FLOW DIAGRAM MODULE A6											2005063 SHEET 1																																								
X	REF	LOGIC FLOW DIAGRAM MODULE A6												2005063 SHEET 2																																							
X	REF	LOGIC FLOW DIAGRAM MODULE A7													2005052 SHEET 1																																						
X	REF	LOGIC FLOW DIAGRAM MODULE A7														2005052 SHEET 2																																					
X	REF	LOGIC FLOW DIAGRAM MODULE A8															2005055 SHEET 1																																				
X	REF	LOGIC FLOW DIAGRAM MODULE A8																2005055 SHEET 2																																			
X	REF	LOGIC FLOW DIAGRAM MODULE A9																	2005056 SHEET 1																																		
X	REF	LOGIC FLOW DIAGRAM MODULE A9																		2005056 SHEET 2																																	
X	REF	LOGIC FLOW DIAGRAM MODULE A10																			2005057 SHEET 1																																
X	REF	LOGIC FLOW DIAGRAM MODULE A10																				2005057 SHEET 2																															
X	REF	LOGIC FLOW DIAGRAM MODULE A11																					2005058 SHEET 1																														
X	REF	LOGIC FLOW DIAGRAM MODULE A11																						2005058 SHEET 2																													
X	REF	LOGIC FLOW DIAGRAM MODULE A12																							2005053 SHEET 1																												
X	REF	LOGIC FLOW DIAGRAM MODULE A12																								2005053 SHEET 2																											
X	REF	LOGIC FLOW DIAGRAM MODULE A13																									2005069 SHEET 1																										
X	REF	LOGIC FLOW DIAGRAM MODULE A13																																																			
X	REF	LOGIC FLOW DIAGRAM MODULE A14																											2005064 SHEET 1																								
X	REF	LOGIC FLOW DIAGRAM MODULE A14																												2005064 SHEET 2																							
X	REF	LOGIC FLOW DIAGRAM MODULE A15																													2005065 SHEET 1																						
X	REF	LOGIC FLOW DIAGRAM MODULE A15																														2005065 SHEET 2																					
X	REF	LOGIC FLOW DIAGRAM MODULE A16																															2005066 SHEET 1																				
X	REF	LOGIC FLOW DIAGRAM MODULE A16																																2005066 SHEET 2																			
X	REF	LOGIC FLOW DIAGRAM MODULE A17																																	2005067 SHEET 1																		
X	REF	LOGIC FLOW DIAGRAM MODULE A17																																		2005067 SHEET 2																	
X	REF	LOGIC FLOW DIAGRAM MODULE A18																																			2005068 SHEET 1																
X	REF	LOGIC FLOW DIAGRAM MODULE A18																																				2005068 SHEET 2															
X	REF	LOGIC FLOW DIAGRAM MODULE A19																																					2005070 SHEET 1														
X	REF	LOGIC FLOW DIAGRAM MODULE A19																																						2005070 SHEET 2													
X	REF	LOGIC FLOW DIAGRAM MODULE A20																																							2005054 SHEET 1												
X	REF	LOGIC FLOW DIAGRAM MODULE A20																																								2005054 SHEET 2											
X	REF	LOGIC FLOW DIAGRAM MODULE A21																																									2005050 SHEETS 1&2										
X	REF	LOGIC FLOW DIAGRAM MODULE A21																																										2005050 SHEET 3									
X	REF	LOGIC FLOW DIAGRAM MODULE A22																																											2005071 SHEET 1								
X	REF	LOGIC FLOW DIAGRAM MODULE A22																																												2005071 SHEET 2							
X	REF	LOGIC FLOW DIAGRAM MODULE A23																																													2005072 SHEET 1						
X	REF	LOGIC FLOW DIAGRAM MODULE A23																																														2005072 SHEET 2					
X	REF	LOGIC FLOW DIAGRAM MODULE A24																																															2005073 SHEET 1				
X	REF	LOGIC FLOW DIAGRAM MODULE A24																																																2005073 SHEET 2			
X	REF	LOGIC FLOW DIAGRAM MODULE A12																																																	2005053 SHEET 1		
X	REF	LOGIC FLOW DIAGRAM MODULE A21																																																		2005050 SHEETS 1&2	
X	REF	LOGIC FLOW DIAGRAM MODULE A6																																																			2005063 SHEET 2
																																																					
		PROOFED																																																			
